Title,Year,Movie ID,Director,Stars,Votes
Operation Mincemeat,2021,tt1879016,John Madden,"('Colin Firth', 'Matthew Macfadyen', 'Kelly Macdonald', 'Rufus Wright')",6.6
Foreigner's God,2022,tt8427592,Ifan Ifeanyi Michael,"('Nancy Isime', 'Ini Dima Okojie', 'Pete Edochie', 'Grace-Charis Bassey')",6.1
Runaway,2021,tt13019994,Ralph Smith,"('Giovanni Accettola', 'Ron Bauer', 'Veronica Bauer', 'James Bellows')",8.4
Forever Not Maybe,2020,tt7189228,Christie Conochalla,"('Mandahla Rose', 'Marie Gibeault', 'Roxanne Alexia Sinclair', 'Dave Kirkpatrick')",6.4
Queen of Glory,2021,tt3890456,Nana Mensah,"('Nana Mensah', 'Meeko', 'Madeline Weinstein', 'Purva Bedi')",6.5
The Mannequin Man,2022,tt19885072,Kyle Godfrey,"('Keanu Bertrand', 'Manny Costa', 'Ariel Coviello', 'Alice Da Costa')",8.7
The Light Between Us,2020,tt12280548,Elly Spurs,"('Olivia Keu', 'Donnie Brown Jr.', 'Gurpreet Singh', 'Jimmy Sanabria')",6
Sparta,2022,tt18162296,Ulrich Seidl,"('Georg Friedrich', 'Hans-Michael Rehberg', 'Florentina Elena Pop')",7.1
Finding Steve McQueen,2019,tt6032328,Mark Steven Johnson,"('Travis Fimmel', 'Rachael Taylor', 'Forest Whitaker', 'William Fichtner')",6.2
Between Shadow and Soul,2020,tt11701772,Ash Mayfair,"('Long Le Vu', 'Maya', 'Hong Chuong Nguyen', 'Nu Yên-Khê Tran')",5.5
Aberdeen,2019,tt8648232,Colton Van Til,"('Isabel Bennett', 'Amara Davis', 'Matt George Moore', 'Cooper Tomlinson')",7.7
Pretty Problems,2022,tt15566896,Kestrin Pantera,"('Britt Rentschler', 'Michael Tennant', 'J.J. Nolan', 'Graham Outerbridge')",6.1
Belfast,2021,tt12789558,Kenneth Branagh,"('Jude Hill', 'Lewis McAskie', 'Caitríona Balfe', 'Jamie Dornan')",7.3
