Title,Year,Movie ID,Director,Stars,Votes
Secret Agents,2004,tt0356336,Frédéric Schoendoerffer,"('Vincent Cassel', 'Monica Bellucci', 'André Dussollier', 'Charles Berling')",5.4
Rabbit-Proof Fence,2002,tt0252444,Phillip Noyce,"('Everlyn Sampi', 'Tianna Sansbury', 'Kenneth Branagh', 'Laura Monaghan')",7.4
Nanny McPhee,2005,tt0396752,Kirk Jones,"('Emma Thompson', 'Colin Firth', 'Angela Lansbury', 'Kelly Macdonald')",6.6
Killing Cupid,2005,tt0389073,Michael Worth,"('Jenya Lano', 'Christa Sauls', 'Lorenzo Lamas', 'Dan Southworth')",5.3
Faith & Bullets,2005,tt0443503,Kingsly Martin,"('David Stokey', 'Kingsly Martin', 'Elise Ballard', 'Ellar Coltrane')",6.8
Virginia,2005,tt0462596,Gilbert Le,"('Godfrey', 'Paige Hurd', 'Dwight Hicks', 'Susan Carol Oliver')",5.7
The Rocket Post,2004,tt0337708,Stephen Whittaker,"('Ulrich Thomsen', 'Shauna Macdonald', 'Gary Lewis', 'Kevin McKidd')",6.6
Unsung Heroes,2003,tt0477911,Brett Simmons,"('John Desrosiers', 'Peter Eykemans', 'Wesley Freitas', 'Ben Glibert')",8.9
Cathedral,2002,tt0296554,Bruce Schwartz,"('Allyce Beasley', 'James Eckhouse', 'Mark Rolston')",6.1
Kittonkhola,2000,tt1000112,Abu Sayeed,"('Raisul Islam Asad', 'Jayanto Chattopadhyay', 'Mamunur Rashid', 'Pijush Bandyopadhyay')",7.9
The Devil's Filmmaker: Bohica,2003,tt0430016,Andrew Montlack,"('Jeremy Peter Johnson', 'David Kachoui', 'Nurit Monacelli', 'Glenn Peters')",7
Phoenix Blue,2001,tt0280788,Tony Maylam,"('James Murray', 'Emily Hamilton', 'Amanda Donohoe', 'Matt Bardock')",5
Dalawang pisngi ng langit,2001,tt0327612,Cesar S.B. Abella,"('Nini Jacinto', 'Francis Enriquez', 'Mike Magat', 'Alma Soriano')",5.4
