Title,Year,Movie ID,Director,Stars,Votes
The Gleaning,2011,tt1921117,Christopher S. Thompson,"('Brian S. White', 'Jeff Allen', ""James 'Tazz' Arterburn"", 'Charles Bane', 'Jackson Benight')",7.9
Subject: I Love You,2011,tt1227182,Francis dela Torre,"('Briana Evigan', 'Jericho Rosales', 'Dean Cain', 'Dante Basco')",5.5
Vinopiri: Krvni davek,2012,tt2570996,Vitomir Kaucic,"('Tea Melin', 'Milos Bavec', 'Rebeka Kopcic', 'Riki Kopriva')",7.1
Four Single Fathers,2009,tt1252289,Paolo Monico,"('Alessandro Gassmann', 'Jeanine Bartel', 'Joe Urla', 'Francesco Quinn')",5.3
Hero Man,2010,tt1544551,David Filmore,"('David Filmore', 'Alex Douglas', 'Lila McLaughlin', 'Lilah Richcreek Estrada')",6.8
Archon Defender,2009,tt1490539,David T. Krupicz,"('Katie Uhlmann', 'Amanda Jane Smith', 'Dan Wooster', 'Robert Nolan')",6.9
Hatch,2010,tt1656652,Lisandro Boccacci,"('Lisandro Boccacci', 'Kobi Davis', 'Bobby C. Dodd', 'Sean P. Egan')",8.7
Food for Thought,2012,tt2244794,Prakash Mohandas,"('Soumya Ashok', 'Shragvi Balaji', 'Kirby Delaney', 'Vikram Doddi')",8.5
Hatchet Sisters,2010,tt8750124,Joe Black,"('Jeremy Tidwell', 'Jason Black', 'Juliet Galleon', 'Carl Helmers', 'Ellen Jonson')",5.1
The 12 Day Smile,2011,tt1838689,Markus Victoria,"('Steve Boni', 'Tahja Desiree', 'Stacy Egerton', 'Kristi Kirkpatrick')",5.2
Beyond a Reasonable Doubt,2009,tt1183251,Peter Hyams,"('Jesse Metcalfe', 'Amber Tamblyn', 'Michael Douglas', 'Joel David Moore')",5.8
Small Creatures,2011,tt1671669,Martin Wallace,"('Michael Coventry', 'Tom Pauline', 'Paul Bamford', 'Keith Rice')",6.2
South Loop,2010,tt1693937,John A. Rangel,"('Ellen Canton', 'Quetta Carpenter', 'Victoria Floro', 'Hugh Grady')",8
Peep World,2010,tt1103273,Barry W. Blaustein,"('Michael C. Hall', 'Sarah Silverman', 'Rainn Wilson', 'Lewis Black')",5.5
Down the Shore,2011,tt1155060,Harold Guskin,"('Famke Janssen', 'James Gandolfini', 'John Magaro', 'Michael Gandolfini')",5.9
Rubi,2011,tt2123276,Stephen Groo,"('Todd Andersen', 'Devon Anderson', 'Keaton Anderson', 'Micah Dahl Anderson')",5.1
Bitter Art,2009,tt1521694,Michael Hatch,"('Andrea Burdett', 'Nathan Coenen', 'Luke Dabic', 'Vito de Francesco')",8.6
From Beginning to End,2009,tt1440741,Aluizio Abranches,"('Júlia Lemmertz', 'Fábio Assunção', 'Jean Pierre Noher', 'Louise Cardoso')",6.6
Lake Death,2010,tt1652303,Creep Creepersin,"('Greg Duke', 'Rachel Zeskind', 'Noah Longo', 'Charlie Vaughn')",6.3
Status: Single,2009,tt1362559,Jose Javier Reyes,"('Rufa Mae Quinto', 'Paolo Contis', 'Alfred Vargas', 'Rafael Rosell')",6.2
Crimson: The Motion Picture,2011,tt1937112,Ken Cosentino,"('Ayman Abdellatif', 'Wadi Abdellatif', 'Bryan Ball', 'Jason John Beebe')",5.7
Whip It,2009,tt1172233,Drew Barrymore,"('Elliot Page', 'Drew Barrymore', 'Kristen Wiig', 'Sarah Habel')",6.9
Not Fade Away,2012,tt1230215,David Chase,"('John Magaro', 'Jack Huston', 'Will Brill', 'Brahm Vaccarella')",6
God Loves Caviar,2012,tt2181959,Yannis Smaragdis,"('Sebastian Koch', 'Evgeniy Stychkin', 'Juan Diego Botto', 'Olga Sutulova')",5.9
Heels,2010,tt1160371,Ricky Reidling,"('Ricky Reidling', 'Albertossy Espinoza', 'Roxy Wood', 'Tim Garrett')",5.1
Retreat,2011,tt1410051,Carl Tibbetts,"('Thandiwe Newton', 'Cillian Murphy', 'Jamie Bell', 'Jimmy Yuill')",5.8
The Infidel,2010,tt1424003,Josh Appignanesi,"('Omid Djalili', 'Richard Schiff', 'Archie Panjabi', 'Igal Naor')",6.4
Burning Daylight,2010,tt1572777,Sanzhar Sultan,"('Robert Knepper', 'Paul Calderon', 'Adrian Cowan', 'Sanzhar Sultan')",5.3
Simon Killer,2012,tt1790834,Antonio Campos,"('Brady Corbet', 'Mati Diop', 'Lila Salet', 'Michaël Abiteboul')",6.3
Soul Surfer,2011,tt1596346,Sean McNamara,"('AnnaSophia Robb', 'Dennis Quaid', 'Helen Hunt', 'Carrie Underwood')",7
The Man Who Collected Food,2010,tt1502948,Matthew Roth,"('Mike N. Kelly', 'Gary Wagner', 'Lila Miller', 'Russell Fox')",6
The Names of Love,2010,tt1646974,Michel Leclerc,"('Sara Forestier', 'Jacques Gamblin', 'Zinedine Soualem', 'Carole Franck')",7.1
Lamplight,2011,tt2076879,Jason M. Koch,"('Johnny Alonso', 'Gaetano Averella', 'Jeanie M. Clark', 'Kelly Coston')",8.7
All Kids Count,2011,tt1519460,Michael J. Nathanson,"('AJ Abaya', 'Kyle Agnew', 'Sal Alessandro', 'Frankie Angel')",8
North Sea Texas,2011,tt1625150,Bavo Defurne,"('Ben Van den Heuvel', 'Eva van der Gucht', 'Thomas Coumans', 'Katelijne Damen')",7.1
The Devil's Window,2010,tt1906474,James McGowan,"('David Haysom', 'Gwyn Auger', 'Hali Belanger', 'Aaron Conrad')",5.6
My Little Princess,2011,tt1896788,Eva Ionesco,"('Isabelle Huppert', 'Anamaria Vartolomei', 'Georgetta Leahu', 'Denis Lavant')",6.4
Treatment,2011,tt1754786,Joshua Leonard,"('Sean Nelson', 'Steven Schardt', 'Joshua Leonard', 'Sean Nelson', 'Ross Partridge', 'Jessica Makinson')",5
Dreamscape,2009,tt1084952,Daniel J. Fox,"('Sandra Darnell', 'Richard Dodd', 'Mark Ellingham', 'Abigail Fox')",6.2
Surviving Georgia,2011,tt1600683,Sandra Sciberras,"('Kate Whitbread', 'Pia Miranda', 'Holly Valance', 'Spencer McLaren', 'Toby Wallace')",5.3
The Big Slick,2011,tt1758779,Graham Hughes,"('Kim Blythe', 'Stuart Carr', 'Scott Cunningham', 'Keith Grantham')",7.6
Ghosts of Girlfriends Past,2009,tt0821640,Mark Waters,"('Matthew McConaughey', 'Jennifer Garner', 'Emma Stone', 'Michael Douglas')",5.8
Muttnik,2009,tt1553086,William Szarka,"('Ryan Berkun', 'Bobby Catrini', 'Jeremy Fernandez', 'Britta Gigliotti')",9.5
Guess How Much I Love You: Friendship Adventures,2010,tt3552652,Steve Moltzen,"('Ky Baldwin', 'Dylan Elchaar', 'Monique Hore')",7.9
