Title,Year,Movie ID,Director,Stars,Votes
Rifftrax: The Incredible 2-Headed Transplant,2015,tt21639896,Bill Corbett,"('Kevin Murphy', 'Michael J. Nelson')",6.5
Pilgrim Hill,2013,tt2083295,Gerard Barrett,"('Joe Mullins', 'Muiris Crowley', 'Corina Gough', 'Kevin McCormack')",6.9
Mariachi Gringo,2012,tt1239374,Tom Gustafson,"('Shawn Ashmore', 'Martha Higareda', 'Kate Burton', 'Adriana Barraza')",6.3
Victor Frankenstein,2015,tt1976009,Paul McGuigan,"('Daniel Radcliffe', 'James McAvoy', 'Jessica Brown Findlay', 'Andrew Scott')",5.9
National Theatre Live: The Magistrate,2013,tt3311150,Timothy Sheader,"('Tim Van Someren', 'Nicholas Blane', 'Nicholas Burns', 'Nancy Carroll', 'Alexander Cobb')",7.3
An Inappropriate Affect,2015,tt2673726,Russ Martin,"('Mike Duff', 'Ariel Pacheco', 'Christian Rozakis', 'Sal Rendino')",8.8
Underworld: Awakening,2012,tt1496025,Måns Mårlind,"('Björn Stein', 'Kate Beckinsale', 'Michael Ealy', 'India Eisley', 'Stephen Rea')",6.3
The Secret Society of Fine Arts,2012,tt2333552,Anders Rønnow Klarlund,"('Jana Klinge', 'Christian Blümel', 'Susanne Wuest', 'Daniel Zillmann')",6.9
Devil's Weekend,2012,tt3561490,Cédric Dupuis,"('Céline Berti', 'Olivier Bureau', 'Mickaël Collart', 'Raphaël Miraoui')",5.2
Rhino,2012,tt2244682,Patrick Rea,"('Malcolm Goodwin', 'Keith Loneker', 'Alicia Cabrera', 'Lindsay Benner')",7.7
Living with No Regrets,2013,tt3498658,Jamal Hall,"('Alonzo Herran JR', 'Rahim Ali', 'Marcellus Bishop Allen', 'Verina Banks')",5.9
Men with Arms,2012,tt2413396,Joey Fishman,"('Gabriel Lyons Loeb', 'Matt Spevack', 'Benjamin Leasure', 'Daniel Martin Berkey', 'Helyn Messenger', 'Michael Jefferson')",8.2
Chennai Express,2013,tt2112124,Rohit Shetty,"('Deepika Padukone', 'Shah Rukh Khan', 'Sathyaraj', 'Nikitin Dheer')",6.1
Don't Look Back,2014,tt3683398,William Dickerson,"('Kate Burton', 'Cassidy Freeman', 'Lucy Griffiths', 'Holly Kaplan')",5.3
Synchronicity,2015,tt2049543,Jacob Gentry,"('Chad McKnight', 'Brianne Davis', 'AJ Bowen', 'Scott Poythress')",5.4
Dark Circles,2013,tt1863201,Paul Soter,"('Brett Beoubay', 'Jamie Bernstein', 'Ashley Braud', 'Philippe Brenninkmeyer')",5
10 Things I Hate About Life,2014,tt2402917,Gil Junger,"('Janet Montgomery', 'Billy Campbell', 'Elodie Yung', 'Chelsey Crisp')",6
12 Dogs of Christmas: Great Puppy Rescue,2012,tt2325491,Kieth Merrill,"('Sean Patrick Flanery', 'Danielle C. Ryan', 'Skyler Holman', 'Alisha Mullally')",5.1
Farah Goes Bang,2013,tt2396485,Meera Menon,"('Raymond Lee', 'Michael Steger', 'Lyman Ward', ""D.J. 'Shangela' Pierce"")",7
How We Got Away with It,2014,tt2017711,Jon Lindstrom,"('McCaleb Burnett', 'Jeff Barry', 'Cassandra Freeman', 'Mikal Evans')",5.2
Movie Night,2013,tt2250490,Anthony Edward Curry,"('Anthony Edward Curry', 'Tim Cronin', 'J.D. Brown', 'Ed McKeever')",5.6
Go in the Wilderness,2013,tt3121574,Elza Kephart,"('Stephanie Chapman-Baker', 'Kevin Walker', 'Julie Johnson', 'Devin Estes')",7.5
Young Hunters: The Beast of Bevendean,2015,tt2470102,Ewan Gorman,"(""Brenock O'Connor"", 'Toby Murray', 'Aaron Swartz', 'Jonathan Hansler')",6.2
Anything Goes,2012,tt1773285,Bruno Marino,"('Sean Kaufmann', 'Vanessa Broze', 'Saffron Cassaday', 'Andrew Martin Priestman')",5.7
The Private Life of Marilyn Monroe,2013,tt2883776,Gary LeGault,"('Dorothy Blass', 'Carlissa Hayden', 'Phillip A. LeGault')",6.3
Sand Castles,2014,tt2233170,Clenet Verdi-Rose,"('Jordon Hodges', 'Anne Winters', 'Randy Spence', 'Saxon Trainor')",6.4
Lies I Told My Little Sister,2014,tt2287861,William J. Stribling,"('Ellen Foley', 'Lucy Walters', 'Donovan Patton', 'Alex Jennings')",7.7
Miss Teacher,2015,tt5505504,Serah Ogechi Onyeachor,"('Joseph Benjamin', 'Liz Benson', 'Chika Ike')",6.5
Split Second,2012,tt2467370,Timothy Fontaine,"('Todd Anthony', 'Neil Carr', 'George Pendill', 'Tiffany Yancey')",8.6
Night Has Settled,2014,tt2141941,Steve Clark,"('Pilar López de Ayala', 'Spencer List', 'Nicholas Pinto', 'Adriana Barraza')",6.2
I Am Evangeline,2015,tt3143912,Christine Rogers,"('Georgia Flood', 'Benjamin Hoetjes', 'Vanessa Moltzen', 'Peter Rowley')",6.2
Agoni,2015,tt4331666,Ryan Logsdon,"('Ryan Logsdon',)",6.3
The Skeleton Twins,2014,tt1571249,Craig Johnson,"('Kristen Wiig', 'Bill Hader', 'Luke Wilson', 'Ty Burrell')",6.8
The Dates,2015,tt5440598,Chris Hembury,"('Lauran Boddy', 'Dale Bowkett', 'Louis Butler', 'Philip Ciotkowski')",6.4
Pharmboy,2012,tt2619066,Lawrence Feeney,"('Anja Akstin', 'Andrea Alfonso', 'Lan Barefoot', 'Lucius Baston')",8.5
Schutzengel,2012,tt2107814,Til Schweiger,"('Numan Acar', 'Volker Albers', 'Loyd Bateman', 'Gode Benedix')",5.7
My Bloody Banjo,2015,tt3283698,Liam Regan,"('James Hamer-Morton', 'Damian Morter', 'Dani Thompson', 'Vito Trigo')",5.1
Satyriasis,2015,tt4430556,James Slater,"('Craig John Burrows', 'Kelly Evans', 'Eliza Tuturman')",5.9
Coming to Terms,2013,tt2464486,Jon Jost,"('James Benning', 'Ryan Harper Gray', 'Roxanne Rogers', 'Kathryn Sannella')",6.7
"Love, Lies and Seeta",2012,tt1862047,Chandra Pemmaraju,"('Melanie Chandra', 'Arjun Gupta', 'Lavrenti Lopes', 'Michael Derek')",8.1
Mangiacake,2015,tt3002556,Nathan Estabrooks,"('Melanie Scrofano', 'Christina Cuffari', 'Jocelyne Zucco', 'Paula MacPherson')",6.2
Steve Jobs: iGenius,2012,tt2337448,Tara Pirnia,"('Mark Lindsay Chapman',)",5.1
