Title,Year,Movie ID,Director,Stars,Votes
A Perfect Man,2013,tt2275471,Kees Van Oostrum,"('Jeanne Tripplehorn', 'Liev Schreiber', 'Joelle Carter', 'Louise Fletcher')",5.2
A Fantastic Fear of Everything,2012,tt2006040,Crispian Mills,"('Chris Hopewell', 'Simon Pegg', 'Paul Freeman', 'Amara Karan', 'Clare Higgins')",5.8
The Teller and the Truth,2015,tt2069961,Andrew Shapter,"('Leilani Galvan', 'Russell Gustave Ochoa', 'Helena Stoddard', 'Diane Perella')",6.2
The Den,2013,tt2503154,Zachary Donohue,"('Melanie Papalia', 'David Schlachtenhaufen', 'Adam Shapiro', 'Anna Margaret Hollyman')",6
The Wedding Dress,2014,tt3079752,Paul Chitlik,"('Hannah Cowley', 'Josh Eichenbaum', 'Savannah Southern-Smith', 'Tammy Taylor')",5.8
My Dream Beside Me,2014,tt3109750,Greg Robbins,"('Matthew A. Nardone', 'Jeff Rose', 'Jay Storey', 'Francine Locke', 'Greg Robbins')",6.4
Heinous Acts,2014,tt4161070,Tim Hannigan,"('Daniel Cristofori', 'Eleni Nico', 'Claudia Wit', 'Jennifer Krukowski')",5.1
Bullitt and the Curse of the Blood Ring,2014,tt3877230,Richard Gonzalez,"('Rockwood', 'Richard Gonzalez', 'Rockwood', 'Jill Randall', 'Lili Alba')",5.8
Austenland,2013,tt1985019,Jane Austen,"('Jerusha Hess', 'Keri Russell', 'JJ Feild', 'Jennifer Coolidge', 'Bret McKenzie')",6.3
The Answer,2015,tt3197802,Pavan Kaul,"('Leonidas Gulaptis', 'Victor Banerjee', 'Miriam Harris', 'George Stumpf')",6
Thou Shalt Not Kill,2014,tt3165238,Kenneth Castillo,"('Grace Serrano', 'Al Coronel', 'Anthony L. Fernandez', 'Ivan Basso')",8.1
Blood of the Witch: The Complete Film,2012,tt2572014,Casey T. Malone,"('Liz Owens', 'Kellie Ann Gregg', 'Tim Haney', 'Mike Thompson')",8.4
Diablo Canyon,2015,tt2273062,Elgin Cahill,"('Walter Anaruk', 'Laura Baukol', 'Jeff Bosley', 'Ron Burkhardt')",5.6
Jorge Ameer Presents Straight Men & the Men Who Love Them 3,2014,tt3547466,Aitch Alberto,"('Jorge Ameer', 'Anna Nolskog', 'Gary Thomas', 'Norris Wong', 'Robert Brinkley', 'Wing Him Chan', 'Graeme Dalling', 'Tom Drexel')",6
Always Woodstock,2014,tt1995477,Rita Merson,"('Allison Miller', 'James Wolk', 'Rumer Willis', 'Jason Ritter')",5.2
The Giant Mechanical Man,2012,tt1769363,Lee Kirk,"('Jenna Fischer', 'Chris Messina', 'Topher Grace', 'Malin Akerman')",6.7
The Stranger,2014,tt4016718,John Craig Howells,"('Rachel McDowall', 'Darren Ripley', 'John Jenner', 'Lizzie Rogan')",6.1
A Hijacking,2012,tt2216240,Tobias Lindholm,"('Pilou Asbæk', 'Søren Malling', 'Dar Salim', 'Roland Møller')",7.1
Of Horses and Men,2013,tt3074732,Benedikt Erlingsson,"('Ingvar Sigurdsson', 'Charlotte Bøving', 'Johann Pall Oddson', 'Kristbjörg Kjeld')",6.8
Killing Them Softly,2012,tt1764234,Andrew Dominik,"('Brad Pitt', 'Ray Liotta', 'Richard Jenkins', 'Scoot McNairy')",6.2
Shadows,2012,tt2255946,Richard A. Becker,"('Genevieve Southwick', 'Alison Wesley', 'Casey Grant', 'Robert Ready')",9
I Kissed a Girl,2012,tt2226403,Chester Long,"('Forrest Rilling', 'Emily Sucher', 'Andre Sweet Collins', 'Aaliythea Pitts')",7.9
Forbidden Kiss,2012,tt1920928,Fen Tian,"('John Robinson', 'Xiaolu Li', 'Jian Jun Ding', 'Lu Fei')",6.2
Big Gay Love,2013,tt2573206,Ringo Le,"('Jonathan Lisecki', 'Nicholas Brendon', 'Ann Walker', 'Ethan Le Phong')",5
The Parisian Bitch: Princess of hearts,2015,tt4466362,Eloïse Lang,"('Noémie Saglio', 'Camille Cottin', 'Cécile Boland', 'Lou Cottin', 'Rosie Mahon de Monaghan')",5.6
Betterthandead,2012,tt2212146,Marco Saverio,"('Robert Bovill', 'Golbon Eghtedari', 'Grace Francisca', 'Brynn Harris')",8.4
Effie Gray,2014,tt1605798,Richard Laxton,"('Dakota Fanning', 'Greg Wise', 'Tom Sturridge', 'Emma Thompson')",6
You Better Watch Out!,2013,tt3390170,Jason Byrne,"('Michael Welch', 'Vinnie Alley', 'Jason Byrne', 'David Civitarese', 'Keith Cooper')",5.6
Luna,2014,tt1695388,Dave McKean,"('Ben Daniels', 'Dervla Kirwan', 'Stephanie Leonidas', 'Michael Maloney')",6.8
Kick-Ass 2,2013,tt1650554,Jeff Wadlow,"('Aaron Taylor-Johnson', 'Chloë Grace Moretz', 'Christopher Mintz-Plasse', 'Jim Carrey')",6.5
Zero One,2012,tt1601973,Kareem N. Gray,"('Jordan Spradley', 'Jeff Hoferer', 'Monica Peña', 'Jay Prichard')",7.3
Shyamal Uncle Turns Off the Lights,2012,tt2354956,Suman Ghosh,"('Shyamal Bhattacharya', 'Arindam Ghosh')",6.5
Lost on Purpose,2013,tt1942913,Eshom Nelms,"('Ian Nelms', 'Jane Kaczmarek', 'C. Thomas Howell', 'James Lafferty', 'Aaron Hill')",5.7
The Binman,2015,tt4222078,Scott Rivers,"('Dylan Bevan', 'Jenna Bickford', 'Kelsey Bickford', 'Caitlyn Bryant')",7.4
Armi Alive!,2015,tt3665860,Jörn Donner,"('Minna Haapkylä', 'Laura Birn', 'Hannu-Pekka Björkman', 'Robert Enckell')",5.5
Lurk,2015,tt2637906,Vassilis Katsikis,"('Aris Athan', 'Peter Gerald', 'Tina Leonora', 'Maria Mihailidou')",5.4
Easy Abby: How to Make Love More Difficult,2013,tt3076962,Wendy Jo Carlton,"('Lisa Cordileone',)",7
Bilal: A New Breed of Hero,2015,tt3576728,Khurram H. Alavi,"('Ayman Jamal', 'Adewale Akinnuoye-Agbaje', 'Ian McShane', 'China Anne McClain', 'Thomas Ian Nicholas')",7.6
Finding Mr. Right,2013,tt2169322,Xiaolu Xue,"('Tang Wei', 'Xiubo Wu', 'Hai-Qing', 'Hongmei Mai')",6.5
Dustins Dojo: The Movie,2014,tt4154600,Dustin Britton,"('Dustin Britton', 'Nicholas Guerrier')",8.5
A Not So Pleasant Surprise,2012,tt2648218,Abiel Bruhn,"('John Rocco', 'Jeremiah Dupre', 'Kelly Jeanne', 'Aurora Maria Lopez')",7
The Last Fall,2012,tt1986161,Matthew A. Cherry,"('Lance Gross', 'Nicole Beharie', 'Vanessa Bell Calloway', 'Obba Babatundé')",5.5
Anita B.,2014,tt2884308,Roberto Faenza,"('Andrea Osvárt', 'Antonio Cupo', 'Eline Powell', 'Robert Sheehan')",5.6
Having You,2013,tt2343549,Sam Hoare,"('Anna Friel', 'Romola Garai', 'Andrew Buchan', 'Phil Davis')",6.4
Electric Man,2012,tt1928161,David Barras,"('Toby Manley', 'Mark McKirdy', 'Fish', 'Jennifer Ewing')",7.2
Another Woman's Life,2012,tt1817191,Sylvie Testud,"('Juliette Binoche', 'Mathieu Kassovitz', 'Aure Atika', 'Danièle Lebrun')",6.3
American Girls,2013,tt2108465,Eric Pereira,"('Bai Ling', 'James Duval', 'Kevin Gage', 'Devanny Pinn')",5.3
Long Dark Road,2014,tt3908834,Moosa Saleem,"('Atif Rashid', 'Saurabh Kumar', 'Anamika Raj', 'Priyanka Kumari')",8.2
Hollywood Musical!,2015,tt1918855,Alexander Baack,"('Alexander Baack', 'Hillary Baack', 'Michael Alexander Henry', 'Beth Lane')",6.5
Stealing Roses,2012,tt1965115,Megan Clare Foster,"('John Heard', 'Cindy Williams', 'Mark Famiglietti', 'Josie Davis')",6.2
Assumption of Risk,2014,tt3039076,Mark Kochanowicz,"('Brian Anthony Wilson', 'Dan McGlaughlin', 'Frankie Faison', 'Patricia Mizen')",6.7
Scott Ian: Swearing Words in Glasgow,2014,tt4193180,Scott Ian,"('Scott Ian',)",6
Leaving Circadia,2014,tt1954612,Evan Mathew Weinstein,"('Michael Cerveris', 'Winter Williams', 'Christian Coulson', 'Joseph R. Gannascoli')",6.7
Palmdale,2014,tt3213078,Erich Kemp,"('Lackos', 'Eliot', 'Olivia Preciado', 'Matt Callahan')",5.4
All the Fear of the Fair,2012,tt2606456,Chris Jupp,"('Leigh Cunningham', 'Jon Jupp', 'Hayley Tutton', 'Mark White')",6.6
Scent,2014,tt5219050,Tsui-shan Jessey Tsang,"('Shi-hoo Park', 'Ran Chen', 'Hu An', 'Sean Li')",7.8
Henry IV: Part 1,2012,tt3129954,Adam Lee Hamilton,"('Jack Baldwin', 'Aimée-Lou Cameron', 'Ian Horgan', 'Saul Matlock')",8.7
Infinite Santa 8000,2013,tt3197486,Michael Neel,"('Duane Bruce', 'Tara Henry', 'Michael Neel')",5.4
Music High,2012,tt1754237,Mark Maine,"('Jonathan Bennett', 'Cassandra Scerbo', 'Monte Markham', 'Michael Copon')",7.8
People Places Things,2015,tt4104022,Jim Strouse,"('Jemaine Clement', 'Regina Hall', 'Jessica Williams', 'Stephanie Allynne')",6.8
In the Name Of,2013,tt2650642,Malgorzata Szumowska,"('Andrzej Chyra', 'Mateusz Kosciukiewicz', 'Maja Ostaszewska', 'Lukasz Simlat')",6.6
Annie and the Gypsy,2012,tt2290829,Russell Brown,"('Cybill Shepherd', 'David Burtka', 'Peter Paige', 'Gia Carides')",5.8
The Humdrummer,2013,tt1468375,James Jaeger,"('Rene Heger', 'Francesca Fondevila', 'Lauren Litt', 'Jonathon Carter Schall')",6.9
Emeli Sandé Live at the Royal Albert Hall,2013,tt2659342,Paul Dugdale,"('Emeli Sandé',)",8.3
Warren,2014,tt2425466,Alex Beh,"('Austin Stowell', 'Jean Smart', 'John Heard', 'Andrew Santino')",5.3
MidRange,2013,tt2578622,Jason Fields,"('Jason Fields', 'Sean Douglas', 'McKenna Jones', 'Susan Grace')",7.1
The Green Marker Scare,2012,tt2509428,Graham Jones,"('Mark Aalben', 'Ali Coffey', 'Louise Marie Kerr', 'Frank McGovern')",6.6
Strikdas,2015,tt3096498,Stefan Nieuwoudt,"('Kaz McFadden', 'Leandie du Randt', 'Gys de Villiers', 'Elsabé Daneel')",6.8
My Old Classmate,2014,tt3956312,Frant Gwo,"('Dongyu Zhou', 'Kenny Lin', 'Natsuko Aoike', 'Kaylan Armstrong')",5.6
All Inclusive,2014,tt3700454,Hella Joof,"('Mikael Birkkjær', 'Rasmus Bjerg', 'Carsten Bjørnlund', 'Danica Curcic')",5.8
Trent,2015,tt4704522,Curtis James Salt,"('Josh Trant', 'Parry Burton', 'Alex Prostano', 'Emma Caroline Walton')",6.2
The Talent,2013,tt5231420,Quang Huy,"('Pham Quynh Anh', 'Tram Anh', 'Phi Dieu', 'Nguyen Hau')",6.5
Temper's Karma,2012,tt2487198,Kimberly Jentzen,"('Ashley Rose Reedy', 'Brienne La Flair', 'Sonia Lisette', 'Kelly Crossley')",8.2
All the Light in the Sky,2012,tt2442466,Joe Swanberg,"('Jane Adams', 'Sophia Takal', 'Kent Osborne', 'Larry Fessenden')",6.4
The Knife That Killed Me,2014,tt2087982,Kit Monkman,"('Marcus Romer', 'Jack McMullen', 'Reece Dinsdale', 'Jamie Shelton', 'Oliver Lee')",6.9
SoulMate: True Evil Never Dies,2012,tt2262127,Shawn Anthony Watts,"('Jessica Felice', 'Daniel Ross', 'Michael Alban', 'John C. Bailey')",5.5
LiveJustine,2015,tt4603150,Samuel Victor,"('Lucy Pinder', 'Blake Curtis-Woodcock', 'Samuel Victor', 'Madalina Bellariu Ion')",7
Waiting for Butterflies,2015,tt2326075,Richard Clark Jr.,"('Kent Allen', 'Addy Miller', 'Jason Burkey', 'Tim Perez-Ross', 'Cranston Johnson')",5.7
All Roads Lead,2013,tt2265640,Peter Bolte,"('Yolonda Ross', 'Nick Sandow', 'David Yow', 'Tom Donahue')",6.4
Vengeance,2013,tt2970646,Keren Cytter,"('Matt DeCoster', 'Alexander Kellogg', 'Jenny Grace', 'Anna Russell')",5.9
Our Last Summer,2013,tt2816758,David Burtonwood,"('Jordan Curry', 'Laura Hannawin', 'Jackson Batchelor', 'Alice Young')",5.6
Portrait of a Serial Monogamist,2015,tt2935662,John Mitchell,"('Christina Zeidler', 'Grace Lynn Kung', 'Robin Duke', 'Raoul Bhaneja', 'Carolyn Taylor')",5.1
Nothing Against Life,2013,tt1828255,Julio Ramírez,"('Cynthia Geary', 'Fernando Noriega', 'Hilary Pickles', 'Keifer Grimm')",8.4
Creditors,2015,tt3220574,Ben Cura,"('Christian McKay', 'Andrea Deck', 'Ben Cura', 'Tom Bateman')",7.4
V/H/S/2,2013,tt2450186,Simon Barrett,"('Jason Eisener', 'Gareth Evans', 'Gregg Hale', 'Eduardo Sánchez', 'Timo Tjahjanto', 'Adam Wingard', 'Lawrence Michael Levine', 'Kelsy Abbott', 'Adam Wingard', 'Hannah Hughes')",6
Altered States of Plaine,2012,tt1597176,Nick Gaglia,"('George Gallagher', 'Kether Donohue', 'Michael G. Mathis', 'Donald Pritt')",5.6
Adieu Paris,2013,tt2094990,Franziska Buch,"('Jessica Schwarz', 'Hans Werner Meyer', 'Sandrine Bonnaire', 'Gérard Jugnot')",5.8
Let's Ruin It with Babies,2014,tt3121122,Kestrin Pantera,"('Kestrin Pantera', 'Jonathan Grubb', 'Eva Kim', 'Sam Friedman')",5
The Late Night Double Feature,2014,tt3606488,Christopher R. Mihm,"('Michael Cook', 'Shane Donahue', 'Cherie Gallinati', 'Mark Haider')",6.4
Only in L.A.,2013,tt1522229,Robert Filios,"('Jus Riddick', 'Jus Riddick', 'Haley Strode', 'Paul Elia', 'Alexandra Bayless')",8.1
Bad Ass,2012,tt1928330,Craig Moss,"('Danny Trejo', 'Charles S. Dutton', 'Ron Perlman', 'Patrick Fabian')",5.4
Children of War,2014,tt3369670,Mrityunjay Devvrat,"('Farooq Shaikh', 'Victor Banerjee', 'Pawan Malhotra', 'Indraneil Sengupta')",6.6
Wildlike,2014,tt2204080,Frank Hall Green,"('Ella Purnell', 'Brian Geraghty', 'Diane Farr', 'Nolan Gerard Funk')",6.6
Ride Along,2012,tt2263520,Larry Greene,"('Larry Greene', 'Giovanni Pauletti', 'Tony Lee Gratz', 'Victorye Pulliam')",5.1
Sariel,2015,tt5369126,Matthew Stogdon,"('Julian Sands', 'Kyle Stewart', 'Stuart Ashen', 'Laura Jane Watling')",6.4
Bakgat! tot die mag 3,2013,tt2583494,Stefan Nieuwoudt,"('Ivan Botha', 'Cherie van der Merwe', 'Altus Theart', 'Neil Sharim')",6.2
Crimson Peak,2015,tt2554274,Guillermo del Toro,"('Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam')",6.5
Mon Ami,2012,tt1838601,Rob Grant,"('Mike Kovac', 'Graham Wardle', 'Scott Wallis', 'Charis Hogg')",5.6
Sisters,2015,tt1850457,Jason Moore,"('Amy Poehler', 'Tina Fey', 'Maya Rudolph', 'Ike Barinholtz')",6
Josh,2013,tt2140039,Iram Parveen Bilal,"('Aamina Sheikh', 'Khalid Malik', 'Mohib Mirza', 'Navin Waqar')",7
Quitters,2015,tt3018528,Noah Pritzker,"('Ben Konigsberg', 'Greg Germann', 'Mira Sorvino', 'Kara Hayward')",5.3
Hitch,2012,tt2477178,Sébastien Grall,"('Joe Sheridan', 'Mathieu Bisson', 'Patty Hannock', 'Féodor Atkine')",7.2
Wild and Precious,2012,tt2350742,Bill Mousoulis,"('Alessandro Figurelli', 'Jennifer Levy', 'Emanuela Zocco', 'Alan Maglio')",7.5
The Savior,2014,tt3151028,Robert Savo,"('Zohir Al Nobani', 'Mohammad Bakri', 'Abeer Issa', 'Yussuf Abu-Warda')",7.5
Polk,2014,tt4574674,Nikos Nikolopoulos,"('Vladimir Nikolouzos', 'Thanassis Georgiou', 'Ieronymos Kaletsanos', 'Alexandros Logothetis', 'Alexandros Mavropoulos')",5.5
Bush Boys,2013,tt2487152,Peter Cameron,"('Matthew Clarke', 'Dave White', 'Joel Hogan', 'Mark Williamson')",8.5
The Volcano Exiles,2013,tt3129920,Paula Gaitán,"('Vincenzo Amato', 'Bruno Cesário', 'Clara Choveaux', 'Bel García')",5.2
Caeli Auxilium,2015,tt7353218,Eric L. Rhodes,"('Matthew Archie', 'Cory Caudill', 'Simon Doyle', 'Shenita Etwaroo')",8.4
The Slingers,2013,tt3405932,David E. Ruiz,"('Aaron Acosta', 'Emma Rose Maloney', 'Bill Trepanier', 'Kella Smith')",7.4
Safety Not Guaranteed,2012,tt1862079,Colin Trevorrow,"('Aubrey Plaza', 'Mark Duplass', 'Jake Johnson', 'Karan Soni')",6.9
The Impersonators,2014,tt2386325,Joshua Hull,"('Josh Arnold', 'Jasper Lewis', 'Micah Shane Ballinger', 'Melissa Revels')",5.2
Láska je láska,2012,tt2101390,Aneta Krejcíková,"('Petr Nározný', 'Milan Cieslar', 'Aneta Krejcíková', 'Maciej Cymorek', 'Petr Nározný', 'Eliska Balzerová')",6.3
3 Generations,2015,tt4158624,Gaby Dellal,"('Naomi Watts', 'Elle Fanning', 'Susan Sarandon', 'Tate Donovan')",5.9
Angel in June,2012,tt2328499,Jan Xavier Pacle,"('Leo Martinez', 'Joyce Sison', 'Israel Gonzales Malabanan', 'Stacey Ann Diones Canicosa')",7.6
Unlimited,2013,tt2166291,Nathan Frankowski,"('Fred Thompson', 'Robert Amaya', 'Daniel Ross Owens', 'Oscar Avila')",6.4
Continuity,2012,tt1974239,Philippe Mora,"('Anni Blackhurst', 'Victoria Bullock', 'Paul Clemens', 'Georges Mora')",7.2
The Ways of Wine,2015,tt5006094,Nicolás Carreras,"('Charlie Arturaola', 'Lino Pujia', 'Pandora Anwyl', 'Luca Gardini')",5.7
Faith Street Corner Tavern,2013,tt2917290,David Paul,"('Alonso Airaldi', 'Julie Darnel', 'Jon Durot', 'Nana Ghana')",6.9
Nor'easter,2012,tt1890486,Andrew Brotzman,"('David Call', 'Richard Bekins', 'Liam Aiken', 'Haviland Morris')",5.2
The Pro,2015,tt5185042,André Velts,"('Edwin van der Walt', 'Reine Swart', 'Vilje Maritz', 'Arno Greeff')",6
Of Fortune and Gold,2015,tt3910648,Jared Marshall,"('Christopher Showerman', 'Sam Jones III', 'Eric Jungmann', 'Jeff Schine')",7.3
Ch/B,2014,tt4312536,Evgeniy Shelyakin,"('Aleksey Chadov', 'Merab Ninidze', 'Sergey Makovetskiy', 'Guram Bablishvili')",6.3
Dirtymoney,2013,tt2033239,Adam Tysoe,"('Anthony Welsh', 'Elsa Mollien', 'Mem Ferda', 'Max Wrottesley')",5.1
What Maisie Knew,2012,tt1932767,Scott McGehee,"('David Siegel', 'Julianne Moore', 'Alexander Skarsgård', 'Steve Coogan', 'Joanna Vanderham')",7.4
Meathead Goes Hog Wild,2015,tt4797076,Nevi Cline,"('Zach Harris', 'Sean Pierce', 'Nicholia Q. Aguirre', 'Aquila Anderson', 'Vahan Artin', 'Sable Bedlam')",5.7
Star Trek Into Darkness,2013,tt1408101,J.J. Abrams,"('Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch')",7.7
Ryder Country,2012,tt2196456,Tam Sainsbury,"('Conrad Coleby', 'Lara Cox', 'Peter Sumner', 'Rowena Wallace')",8
Daawat-e-Ishq,2014,tt3398052,Habib Faisal,"('Aditya Roy Kapoor', 'Parineeti Chopra', 'Anupam Kher', 'Karan Wahi')",6.1
I Survived a Zombie Holocaust,2014,tt2536124,Guy Pigden,"('Harley Neville', 'Jocelyn Christian', 'Ben Baker', 'Mike Edward')",5
Window Licker,2014,tt3313160,Brian McGuire,"('Joey Capone', 'James Duval', 'Mark E. Fletcher', 'Zach Green')",5.6
Instant Mommy,2013,tt2823664,Leo Abaya,"('Eugene Domingo', 'Yuki Matsuzaki', 'Adrian Alandy', 'Rico J. Puno')",7.2
Black Box,2013,tt2150181,Stephen Cone,"('Josephine Decker', 'Austin Pendleton', 'Jaclyn Grace', 'Alex Weisman')",7.8
Gulag Barashevo,2015,tt4799476,Michael Kingsbury,"('Tanya Raisa', 'Haydn Winston', 'Lana Gulevich', 'Gunita Jansone Black')",7
Edén,2014,tt2959502,Elise DuRant,"('Will Oldham', 'Diana Sedano', 'Irineo Alvarez', 'Tarek Becerril')",7
Temporary Family,2014,tt3830812,Goo-Bi GC,"('Nick Cheung', 'Sammi Cheng', 'Angelababy', 'Hao Ou')",5.5
Audition,2015,tt2246575,Matt Herron,"('Paige Spara', 'Chelsea Frei', 'Donovan Christie Jr.', 'Sam Quartin')",7.4
The Young Kieslowski,2014,tt2912120,Kerem Sanga,"('Ryan Malgarini', 'Haley Lu Richardson', 'Joshua Malina', 'Melora Walters')",6.5
Halloween: Awakening,2012,tt2577470,Michael Leavy,"('Tom Kane', 'Michael Leavy', 'Michael Pio Carone', 'Isabelle Kay')",5.2
Contraband,2012,tt1524137,Baltasar Kormákur,"('Mark Wahlberg', 'Giovanni Ribisi', 'Kate Beckinsale', 'Robert Wahlberg')",6.4
Roblox: The Movie,2014,tt10554850,William Zubricki,"('Thomas Hopper', 'Rick Astley', 'David Baszucki', 'Drake Bell', 'Maxwell Smith Collins')",6.9
Finding Home: A Feature Film for National Adoption Day,2015,tt4809166,Nick Westfall,"('Cullen Moss', 'Abel Zukerman', 'Tamara Mercer', 'Terrie Batson')",7.2
