Title,Year,Movie ID,Director,Stars,Votes
House of Wax,2005,tt0397065,Jaume Collet-Serra,"('Chad Michael Murray', 'Paris Hilton', 'Elisha Cuthbert', 'Brian Van Holt')",5.4
Journey to the Moon,2008,tt1006901,Stephen Cookson,"('Jassa Ahluwalia', 'Jonah Cook', 'Mark Boggan', 'Emma Powell')",6.8
GIAGONAN 3: The Dark Days of Doom,2007,tt1147554,Giagos Raftopoulos,"('Giagos Raftopoulos', 'Giorgos Iliopoulos', 'Giorgos Raftopoulos', 'Yorgos Naidas')",6.4
Loudmouth Soup,2005,tt0475328,Adam Watstein,"('Nancy Bell', 'Kevin Chamberlin', 'Melanie Chapman', 'Joe Mellis')",7.6
A Home for the Bullets,2005,tt0443535,S.N. Sibley,"('Ken Mood', 'William Scott Johnson', 'Connor McFadyen', 'Mj Dixon')",6.8
American Timmi: Cool as Fuck,2007,tt1377640,Marcin Skruch,"('Colm Fennessy', 'Tim Hickey', 'Marcin Skruch', 'Timmy Tuohy')",7.4
Insidious,2008,tt1225292,Jerry Schram,"('Augustus Diorio', 'Lou Martini Jr.', 'James Schram', 'Karen Sours Albisua')",6
Hatred,2006,tt0810891,Anthony Spadaccini,"('Steve Brown', 'Anthony Spadaccini', 'Garrett McKenna', 'Paul McCloskey')",7.5
Itty Bitty Titty Committee,2007,tt0496328,Jamie Babbit,"('Melonie Diaz', 'Ana Mercedes', 'Cecile Rivore', 'Marisa Ramirez')",5.4
The Kite Flyer,2007,tt1338626,Sean Russell,"('Samud Ali', 'Levi King', 'Andrew Pilgrim')",7.8
Hallows Eve: Slaughter on Second Street,2008,tt1412448,P.J. Starks,"('John Page', 'Katie Green', 'Megan Fuller', 'Robert Denton')",5.1
The Hitcher,2007,tt0455960,Dave Meyers,"('Sean Bean', 'Sophia Bush', 'Zachary Knighton', 'Neal McDonough')",5.6
The Death of Milo Freedman,2008,tt1109584,Anthony L. Fletcher,"('Tony Ruggieri', 'Mark Kochanowicz', 'C.J. Keller', 'Rita Ogden')",8.3
"Finally, Lillian and Dan",2008,tt1338594,Mike Gibisser,"('Gretchen Akers', 'Sarah Augusta', 'Timothy Blevins', 'Ellen DiCamillo')",7.9
Broken,2005,tt0859597,Jay Hollinsworth,"('Paul Phipps', 'Dick Boland', 'Carolyn Camburn', 'John Thudium')",8.4
Next of Kin,2008,tt1107837,Martha M. Elcan,"('Andrew Lockridge', 'Kate Orsini', 'Bess Armstrong', 'George Newbern')",5.6
Bobby Dogs,2007,tt1215457,T.K. Reilly,"('Mike Boland', 'Dawn McGee', 'Joshua Eaddy', 'Rosina Fernhoff')",8.2
Ghani,2006,tt5502760,Kazi Morshed,"('K M Rasheduzzaman Rafi', 'Raisul Islam Asad', 'Dolly Johur', 'Masum Aziz', 'Naznin Hasan Chumki')",8.2
Assassination of a High School President,2008,tt1018818,Brett Simon,"('Reece Thompson', 'Mischa Barton', 'Bruce Willis', 'Michael Rapaport')",6.2
The Stolen Moments of September,2007,tt0970545,T.A. Williams,"('Devon Ahmed', 'Tate Ammons', 'Chriss Anglin', 'Penny Arcade')",6.9
Road,2005,tt0347884,Leslie McCleave,"('Catherine Kellner', 'Ebon Moss-Bachrach', 'James Urbaniak', 'Peter Appel')",6.7
Fragile,2005,tt0422272,Jaume Balagueró,"('Calista Flockhart', 'Richard Roxburgh', 'Elena Anaya', 'Gemma Jones')",6
"Three: Love, Lies, Betrayal",2009,tt1388424,Vishal Pandya,"('Aashish Chaudhary', 'Akshay Kapoor', 'Nausheen Ali Sardar', 'Achint Kaur')",6
Talentime,2009,tt1351669,Yasmin Ahmad,"('Mahesh Jug al Kishor', 'Pamela Chong', 'Amelia Henderson', 'Kahoe Hon')",7.5
A Dance for Bethany,2007,tt0843843,Brian Gurley,"('Robyn Lively', 'Lori Beth Sikes', 'William McNamara', 'Ann Mahoney')",5.5
Slovenian Girl,2009,tt1224373,Damjan Kozole,"('Nina Ivanisin', 'Peter Musevski', 'Primoz Pirnat', 'Marusa Kink')",6.2
Plus One,2008,tt1224449,Oksana Bychkova,"('Madlen Dzhabrailova', 'Jethro Skinner', 'Vladimir Ilin', 'Miriam Sekhon')",6.6
The Strength of Water,2009,tt1059233,Armagan Ballantyne,"('Isaac Barber', 'Hato Paparoa', 'Melanie Mayall-Nahi', 'McCarthy Pearse')",6.5
W.M.D.,2009,tt1192629,David Holroyd,"('Robert Cambrinus', 'Glenn Conroy', 'Somi De Souza', 'Emily Denniston')",7
Chicken Little,2005,tt0371606,Mark Dindal,"('Zach Braff', 'Joan Cusack', 'Garry Marshall', 'Don Knotts')",5.7
Pokémon: The Rise of Darkrai,2007,tt1226251,Kunihiko Yuyama,"('Rica Matsumoto', 'Ikue Ôtani', 'Yûji Ueda', 'Megumi Toyoguchi')",6.3
The Luau,2005,tt0258901,Barry Bowles,"('Brian Hooks', 'Maia Campbell', 'Troy Winbush', 'Faizon Love')",5.4
The Uniform Motion of Folly,2006,tt0808518,Jeanne C. Davis,"('Rita Obermeyer', 'Morgan Davis', 'Oliver Davis', 'Elena Adcock')",8.8
Cheap,2005,tt1557182,Brad Jones,"('David Gobble', 'Brad Jones', 'Carrie Jo Stucki', 'Jessica Stone')",6.8
Mentor,2006,tt0462421,David Langlitz,"('Rutger Hauer', 'Matthew Davis', 'Dagmara Dominczyk', 'Susan Misner')",6
The Nanny Diaries,2007,tt0489237,Shari Springer Berman,"('Robert Pulcini', 'Scarlett Johansson', 'Laura Linney', 'Paul Giamatti', 'Donna Murphy')",6.2
Arranged,2007,tt0848542,Diane Crespo,"('Stefan C. Schaefer', 'Zoe Lister-Jones', 'Francis Benhamou', 'Mimi Lieber', 'John Rothman')",7.3
Spider-Man 3,2007,tt0413300,Sam Raimi,"('Tobey Maguire', 'Kirsten Dunst', 'Topher Grace', 'Thomas Haden Church')",6.3
The Saxon Chronicles,2006,tt0906775,Jeshua De Horta,"('Darin Scott', 'James C. Morris', 'Doug Guibord', 'Dan Christensen')",7.5
Tennessee,2008,tt0770814,Aaron Woodley,"('Adam Rothenberg', 'Ethan Peck', 'Mariah Carey', 'Lance Reddick')",5.8
The Summer of 69,2009,tt1754719,Seth Sonstein,"('Ian Karmel', 'Greta Pauley', 'Dirk Marshal', 'Nick Jaynes Morgan')",8
Muay Thai Giant,2008,tt1251761,Nontakorn Taweesuk,"('Dan Chupong', 'Kessarin Ektawatkul', 'Jason Fenton', 'Philip Hersh')",5.6
One Night Only,2008,tt1339339,Jose Javier Reyes,"('Katrina Halili', 'Diana Zubiri', 'Ricky Davao', 'Jayson Gainza')",6.8
Wasters,2009,tt1259611,Luke Rufo,"('Mark Breeze', 'Rachel Brownsword', 'David Hoare', 'Amelia Tyler')",7
Play the Game,2009,tt1124388,Marc Fienberg,"('Paul Campbell', 'Andy Griffith', 'Doris Roberts', 'Marla Sokoloff')",6.3
Freedom Writers,2007,tt0463998,Richard LaGravenese,"('Hilary Swank', 'Imelda Staunton', 'Patrick Dempsey', 'Scott Glenn')",7.6
For the Love of a Dog,2007,tt0903831,Sheree Le Mon,"('Sherman Hemsley', 'Phil Vassar', 'Tina Witherby', 'Bridgette Potts')",5.1
Five Days of Fire,2007,tt1554946,Max Daines,"('Mason Stoddard', 'Taylor Barton', 'Kenneth Hoffmann', 'Zachary Lindstrom', 'Devon Marrott')",7
17 Again,2009,tt0974661,Burr Steers,"('Zac Efron', 'Matthew Perry', 'Leslie Mann', 'Thomas Lennon')",6.4
Jack Everyman,2006,tt0803012,Larry Czach,"('Sean K. Thompson', 'Samantha Walker', 'Mark Jessup', 'Kathryn Worsham')",7.9
Carbuncle,2006,tt0914800,T. Arthur Cottam,"('Jim Eshom', 'Shawn Lockie', 'T. Arthur Cottam', 'Nicole Blume')",7.3
Let's Rob the Cheese Shop,2009,tt1455180,Sean Gerowin,"('Xavier Jones', 'Brent Phillip Henry', 'Leanne Cochran', 'Shanna Forrestall')",8.3
Generator,2008,tt0765452,Jason D'Amico,"('Christian Guers', 'Christopher Slowicki', 'George Grahl', 'Shak Ali')",6.6
The Insatiable,2006,tt0462362,Chuck Konzelman,"('Cary Solomon', 'Sean Patrick Flanery', 'Michael Biehn', 'Charlotte Ayanna', 'Jon Huertas')",5.2
Amreeka,2009,tt1190858,Cherien Dabis,"('Nisreen Faour', 'Melkar Muallem', 'Hiam Abbass', 'Alia Shawkat')",7
Just Add Water,2008,tt0790723,Hart Bochner,"('Dylan Walsh', 'Jonah Hill', 'Justin Long', 'Danny DeVito')",5.6
Golden Goal!,2008,tt1202516,Mirwan Suwarso,"('Monej Cruz', 'Kurniawan Dwi Yulianto', 'John Dykes', 'Nova Eliza')",7.8
Under One Sun,2009,tt1244662,Amir Jaffer,"('Joyce Lee Kinney', 'David Lassman', 'Gloria Anderson', 'Ketan Bhatia', 'Gerrad Bohl', 'Patrick M. Brady')",8.8
Unknown Things,2007,tt1444338,Bruno Coppola,"('Paul Rhys', 'Elsa Zylberstein', 'Adam Henderson', 'David Hayman')",8.4
4:20 Hour Stand-Up,2009,tt2450480,Lee Abbott,"('Doug Benson', 'Mark Cohen', 'Dan Gabriel', 'Jason Gilliam')",7.3
Defending Against Attack 'The Complete Guide',2008,tt1851894,Frank Nezhadpournia,"('Frank Nezhadpournia', 'Mark Lawn', 'Matthew Harris', 'Michelle Ericsson')",8.5
Chéri,2009,tt1179258,Stephen Frears,"('Michelle Pfeiffer', 'Rupert Friend', 'Kathy Bates', 'Frances Tomelty')",6.1
Father Dad,2006,tt0815161,Kenya Cagle,"('Sherman Jones', 'Luana Claxton Fredericks', 'Shaan Davis', 'Jason Harry', 'Leila Velez', 'Natalie Belus', 'Kenyae Cagle', 'Luana Claxton')",6.7
Something That Sticks,2006,tt0896976,James Devereux,"('James Devereux', 'Matt Devereux', 'Anabelle Lachatte', 'Johannes Raspe')",8.2
Flight of the Living Dead,2007,tt0780583,Scott Thomas,"('David Chisum', 'Kristen Kerr', ""Kevin J. O'Connor"", 'Richard Tyson')",5.1
All Hat,2007,tt0903131,Leonard Farlinger,"('Luke Kirby', 'Keith Carradine', 'Noam Jenkins', 'Lisa Ray')",5.1
Beautiful,2007,tt1172952,Shaun Newcombe,"('Anna Anderson', 'Julia Foenander', 'Kath Gordon', 'Richard Gyoerffy')",6.2
Down in New Orleans,2006,tt0498339,Richard Elias,"('Charles Allen', 'Nathan Grubbs', 'Alex Petrovitch', 'Gabrielle Sfardini')",6.6
The Game Plan,2007,tt0492956,Andy Fickman,"('Dwayne Johnson', 'Kyra Sedgwick', 'Madison Pettis', 'Roselyn Sanchez')",6.4
The Insomniac City Cycles,2009,tt1466516,Ran Slavin,"('Yaniv Abraham', 'Adi Gilad', 'Irad Mazliah', 'Lee Trifon')",7
The Guardian,2006,tt0406816,Andrew Davis,"('Kevin Costner', 'Ashton Kutcher', 'Sela Ward', 'Melissa Sagemiller')",6.9
Trick or Treaters,2007,tt0448150,Hayo Freitag,"('Joachim Król', 'Bela B.', 'Charly Hübner', 'Katharina Thalbach')",6.9
Mary,2005,tt0425236,Abel Ferrara,"('Juliette Binoche', 'Forest Whitaker', 'Matthew Modine', 'Heather Graham')",5.7
Frozen River,2008,tt0978759,Courtney Hunt,"('Melissa Leo', 'Misty Upham', 'Charlie McDermott', ""Michael O'Keefe"")",7.1
The Blue Tower,2008,tt0489452,Smita Bhide,"('Paul Chowdhry', 'Sonnell Dadral', 'Abhin Galeya', 'Indira Joshi')",6.1
The Tartan Horror Story,2009,tt4262928,Sandy Jack,"('Stephen Samson', 'Sandy Jack', 'Stephen Samson', 'Mhari White', 'Ami Woodford')",8.1
Zah-A Pizza Movie,2009,tt1438295,Colin Murray,"('Manu Intiraymi', 'Denise Amrikhas', 'Tym Butler', 'Thomas Cokenias')",8.1
"The Mountain, the River and the Road",2009,tt1213649,Michael Harring,"('Justin Rice', 'Tipper Newton', 'Joe Swanberg', 'Kirsten Barber')",6.7
The Betrayed,2008,tt1074191,Amanda Gusack,"('Melissa George', 'Oded Fehr', 'Christian Campbell', 'Alice Krige')",5.9
Adam's Wall,2008,tt1031212,Michael MacKenzie,"('Jesse Aaron Dwyre', 'Flavia Bechara', 'Paul Ahmarani', 'Maxim Roy')",6.5
Accidents Happen,2009,tt1119123,Andrew Lancaster,"('Geena Davis', 'Harrison Gilbertson', 'Harry Cook', 'Joel Tobeck')",6
Lustre,2005,tt0363779,Art Jones,"('Victor Argo', 'Jordan Lage', 'Gordon Joseph Weiss', 'John Hoyt')",6.5
