Title,Year,Movie ID,Director,Stars,Votes
Driving Bill Crazy,2008,tt1270284,Quinn Larson,"('Chris Weidman', 'Ryan Henslee', 'Chris Weidman', 'Quinn Larson', 'Chenoa Mason')",6.1
Nanny McPhee,2005,tt0396752,Kirk Jones,"('Emma Thompson', 'Colin Firth', 'Angela Lansbury', 'Kelly Macdonald')",6.6
Killing Cupid,2005,tt0389073,Michael Worth,"('Jenya Lano', 'Christa Sauls', 'Lorenzo Lamas', 'Dan Southworth')",5.3
Faith & Bullets,2005,tt0443503,Kingsly Martin,"('David Stokey', 'Kingsly Martin', 'Elise Ballard', 'Ellar Coltrane')",6.8
Virginia,2005,tt0462596,Gilbert Le,"('Godfrey', 'Paige Hurd', 'Dwight Hicks', 'Susan Carol Oliver')",5.7
Prehod,2008,tt1342121,Boris Palcic,"('Jure Ivanusic', 'Iva Krajnc', 'Anita Kravos', 'Matjaz Tribuson')",6
Broken Embraces,2009,tt0913425,Pedro Almodóvar,"('Penélope Cruz', 'Lluís Homar', 'Blanca Portillo', 'José Luis Gómez')",7.2
Thanks for Dying,2009,tt1385998,R.J. McFarlane,"('Robert Alan Beuth', 'Will Schaub', 'Peter Berube', 'Jill Slattery')",6
Provoked,2006,tt0458072,Jag Mundhra,"('Aishwarya Rai Bachchan', 'Miranda Richardson', 'Naveen Andrews', 'Nandita Das')",6.4
Life,2007,tt3742100,Mark Penney,"('Mark Penney', 'Anthony Furey', 'Julianna Ribeiro', 'Jaimal Singh')",5.3
Kratise me,2006,tt1000102,Loukia Rikaki,"('Katerina Lypiridou', 'Takis Vogopoulos', 'Panos Kranidiotis', 'Marianna Calbari')",5.2
New Town Killers,2008,tt1183908,Richard Jobson,"('James Anthony Pearson', 'Dougray Scott', 'Alastair Mackenzie', 'Charles Mnene')",5.6
"Paris, je t'aime",2006,tt0401711,Olivier Assayas,"('Frédéric Auburtin', 'Gurinder Chadha', 'Sylvain Chomet', 'Ethan Coen', 'Joel Coen', 'Isabel Coixet', 'Wes Craven', 'Alfonso Cuarón', 'Gérard Depardieu', 'Christopher Doyle', 'Richard LaGravenese', 'Vincenzo Natali', 'Alexander Payne', 'Bruno Podalydès', 'Walter Salles', 'Oliver Schmitz', 'Nobuhiro Suwa', 'Daniela Thomas', 'Tom Tykwer', 'Gus Van Sant', 'Juliette Binoche', 'Leonor Watling', 'Ludivine Sagnier', 'Fanny Ardant')",7.2
The Stevie Wondershow,2009,tt1290120,Mike Pasley,"('Beau Batterson', 'Brandon Batterson', 'Jason Brumley', 'Jason Buckner')",8.6
48 Shades,2006,tt0476519,Daniel Lapaine,"('Richard Wilson', 'Robin McLeavy', 'Emma Lung', 'Nicholas Donaldson')",5.8
Peacefire,2008,tt1183487,Macdara Vallely,"('John Travers', 'Gerard Jordan', 'Sean Roberts', 'Conor MacNeill')",7.2
A Day in the Life,2009,tt0810821,Sticky Fingaz,"(""Alvin 'Porky' Holland"", 'Bokeem Woodbine', 'Chris Fleming', 'Clarence Williams III')",5.2
After Tomorrow,2005,tt0429542,David M. McLoughlin,"('Anna Amoroso', 'Cascy Beddow', 'Madison Graie', 'Rob deLeeuw')",7.6
Sideways,2009,tt1236373,Cellin Gluck,"('Fumiyo Kohinata', 'Katsuhisa Namase', 'Rinko Kikuchi', 'Kyôka Suzuki')",5.6
The Buck Rules,2007,tt1210043,Sam Lennox,"('Deborah Burns', 'Dominic Burns', 'Ross Chenery', 'Lewis Copson')",5
Meet Bill,2007,tt0790623,Bernie Goldmann,"('Melisa Wallack', 'Aaron Eckhart', 'Jessica Alba', 'Logan Lerman', 'Elizabeth Banks')",6.2
Every Secret Thing,2005,tt0460788,Lou Volpe,"('Mark DeWhitt', 'Judith Baldwin', 'Dawn Carroll', 'Robin Raedeke')",7.5
Arcanum,2009,tt0831272,Sanjay F. Sharma,"('Deborah Baum', 'Ken Proulx', 'Sasha Smith', 'Yvette Virok')",6
Man Made Men,2009,tt1487266,Alex Fegan,"('Conor Brophy', 'Liam Burke', 'Kevin Cummins', 'Nick Cummins')",9.1
The Prototype,2005,tt1424715,Christopher Cantwell,"('Zoe Jarman', 'Peter Monro', 'Sean Bury', ""Kelly O'Neil Jackson"")",7.8
The Limbo Room,2006,tt0756677,Debra Eisenstadt,"('Melissa Leo', 'Andrea Powell', 'Jonathan Marc Sherman', 'Zack Griffiths')",6.3
Convictions,2006,tt1054476,Brett Davis,"('Peter Moore', 'Ash Ricardo', 'Jo Moore', 'Remi Broadway')",6
Sea Legs,2009,tt1446157,Craig Butta,"('Craig Butta', 'Veronica Austin', 'Jimmy Smith', 'Angie Pontani')",8.2
Post Grad,2009,tt1142433,Vicky Jenson,"('Alexis Bledel', 'Michael Keaton', 'Carol Burnett', 'Zach Gilford')",5.3
Women Do It Better,2009,tt1313162,Derrick Simmons,"('Derrick Simmons', 'Gano Grills', 'Dionne Lockett', 'Danny Aiello III')",5.7
Cold Souls,2009,tt1127877,Sophie Barthes,"('Paul Giamatti', 'Emily Watson', 'Dina Korzun', 'Armand Schultz')",6.4
Îngerul necesar,2007,tt1255912,Gheorghe Preda,"('Emily Daler', 'Anca Florea', 'Constantin Florescu', 'Ioana Ginghina')",6.1
Brooklyn Rules,2007,tt0283503,Michael Corrente,"('Paulo Araujo', 'Daniel Tay', 'Ty Thomas Reed', ""Brian O'Neill"")",6.3
Dark and Stormy Night,2009,tt1245091,Larry Blamire,"('Jim Beaver', 'Jennifer Blaire', 'Larry Blamire', 'Bob Burns')",6.6
Before the Rains,2007,tt0870195,Santosh Sivan,"('Linus Roache', 'Rahul Bose', 'Nandita Das', 'Jennifer Ehle')",6.5
Lovebirds,2008,tt1339326,Ronaldo Bertubin,"('Boots Anson-Roa', 'Tommy Abuel', 'Joseph Ison', 'Andrés Alexis')",5.7
Exodus 20:13,2007,tt0784995,Matthew Hencke,"('Scott Michael Adams', 'Anita Anthonj', 'Adrian Black', 'John Brennan')",7.7
Tenacious D in the Pick of Destiny,2006,tt0365830,Liam Lynch,"('Jack Black', 'Kyle Gass', 'JR Reed', 'Ronnie James Dio')",6.8
God Help Me,2006,tt0963173,Reece Tedford,"('Tom Miner', 'George Moss', 'Jim Anderson', 'Candace Orrino')",6.7
After Sex,2007,tt0465375,Eric Amadio,"('Marc Blucas', 'Jose Pablo Cantillo', 'Emmanuelle Chriqui', 'James DeBello')",5.5
The Hessen Conspiracy,2009,tt1153106,Paul Breuls,"('Billy Zane', 'Lyne Renée', 'Michael Bowen', 'Noah Segan')",5.2
Rubbadubbers: Here Come the Rubbadubbers,2005,tt2554024,N/A,(),6.4
Coopers' Camera,2008,tt1242777,Warren P. Sonoda,"('Boyd Banks', 'Jennifer Baxter', 'Mike Beaver', 'Samantha Bee')",6
Munich,2005,tt0408306,Steven Spielberg,"('Eric Bana', 'Daniel Craig', 'Marie-Josée Croze', 'Ciarán Hinds')",7.5
Mobsters and Mormons,2005,tt0439707,John E. Moyer,"('Mark DeCarlo', 'Jeanette Puhich', 'Clayton Taylor', 'Scott Christopher')",6.1
Don't Tell,2005,tt0443446,Cristina Comencini,"('Giovanna Mezzogiorno', 'Luigi Lo Cascio', 'Alessio Boni', 'Stefania Rocca')",6.4
Transit,2008,tt1283967,Christian de la Cortina,"('Christian de la Cortina', 'Luc Morissette', 'Julie du Page', 'Deano Clavet')",5.3
World on Fire,2005,tt0496441,Donald Likovich,"('Richard Anders', 'Lori Enterline', 'Jim Hendren', 'Kris Kamm')",7.4
Brooklyn Lobster,2005,tt0401591,Kevin Jordan,"('Danny Aiello', 'Jane Curtin', 'Daniel Sauli', 'Marisa Ryan')",6.4
Just Buried,2007,tt0906326,Chaz Thorne,"('Jay Baruchel', 'Sergio Di Zio', 'Nigel Bennett', 'Thomas Gibson')",6.1
Loins of Punjab Presents,2007,tt1012757,Manish Acharya,"('Shabana Azmi', 'Ajay Naidu', 'Ayesha Dharker', 'Michael Raimondi')",7.1
RTT,2009,tt1345507,Frédéric Berthe,"('Kad Merad', 'Mélanie Doutey', 'Manu Payet', 'Francis Renaud')",5
Everything Is Illuminated,2005,tt0404030,Liev Schreiber,"('Elijah Wood', 'Eugene Hutz', 'Boris Lyoskin', 'Jonathan Safran Foer')",7.4
Divergence,2005,tt0455195,Benny Chan,"('Aaron Kwok', 'Ekin Cheng', 'Daniel Wu', 'Angelica Lee')",5.9
Numb,2007,tt0795439,Harris Goldberg,"('Matthew Perry', 'Lynn Collins', 'Kevin Pollak', 'Bob Gunton')",6.6
Aisha and Rahul,2009,tt1370135,Milind Swamy,"('Mukesh Asopa', 'Mukesh Asopa', 'Jas Dhanda', 'Robbie Beniuk', 'Kenia Del Toro')",8.4
Blind Ambition,2008,tt0758734,Bala Rajasekharuni,"('Michelle Massey', 'Jaysha Patel', 'Gulshan Grover', 'Christopher Atkins')",7.5
Cubes,2006,tt0832293,Jason Sherry,"('Jessica Chorey', 'Rich Drees', 'Jack Evans', 'Greg Korin')",6.3
The World is Big and Salvation Lurks Around the Corner,2008,tt1178197,Stephan Komandarev,"(""Predrag 'Miki' Manojlovic"", 'Carlo Ljubek', 'Hristo Mutafchiev', 'Ana Papadopulu')",7.9
Each Time I Kill,2007,tt0317401,Doris Wishman,"('Tiffany Paralta', 'Rob Vidal', 'Lisa Ferber', 'Jacqui Holland')",5.7
A Hero's Unsung Dignity,2009,tt1437379,K. Elaine Brown,"('Calvin Brown', 'Timon Kyle Durrett', 'Michelle Foster', 'Kozetta Garnett')",6.2
Act of God,2009,tt0813991,Sean Faughnan,"('Ezna Sands', 'Petros Silvestros', 'David Suchet', 'Max Brown', 'Jenny Agutter', 'Adrian Dunbar')",5.5
Lung do kei yuen,2005,tt0327660,Antony Szeto,"('Karen Mok', 'Daniel Wu', 'Stephen Fung', 'Sandra Kwan Yue Ng')",5.1
The New Girls,2009,tt1883373,Sonny Fernandez,"('Nick Aune', 'Shayne Clemens', 'Dani Collier', 'Liz Dockter')",5.9
Luke and Brie Are on a First Date,2008,tt1106815,Chad Hartigan,"('George Ducker', 'Meghan Webster', 'Leisha Corcoran', 'Aaron Katz')",7.1
Able,2008,tt1283876,Marc Robert,"('Michael Pink', 'Christa Azzola', 'Nathan Babet', 'Maike Moeller Bornstein')",5.5
Escape in Time,2006,tt0806066,Gulliver Parascandolo,"(""River O'Mahoney Hagg"", 'Gary Sommers', 'Alexandra Gellner', 'Steve Hall', 'Rowdy Kelley')",6.1
The Take,2007,tt0828158,Brad Furman,"('John Leguizamo', 'Tyrese Gibson', 'Rosie Perez', 'Bobby Cannavale')",5.8
Taylor,2005,tt0455715,Mark Roemmich,"('Chrissy Bennett', 'David Bowser', 'Madison Bright', 'Scarlett Chorvat')",6.1
Night at the Museum: Battle of the Smithsonian,2009,tt1078912,Shawn Levy,"('Ben Stiller', 'Owen Wilson', 'Amy Adams', 'Hank Azaria')",6
Keeper of the Necklace,2007,tt0791314,Albert McKeever,"('Michael Atkin', 'Sheila Baker', 'Bianca Behm', 'Nannette A. Bell')",7.8
The Third Part of the World,2008,tt1068672,Eric Forestier,"('Clémence Poésy', 'Gaspard Ulliel', 'Eric Ruf', 'Maya Sansa')",5.5
Natures Plague,2006,tt0801002,Steven Doxey,"('Brandon Sean Pearson', 'Michael Doxey', 'Ann Nixon')",7.4
Treasure,2005,tt0482619,Gabriel Nussbaum,"('Kae DeCotiis', 'Elizabeth Newcomer', 'Gabriel Nussbaum', 'Colby Trane')",8
Half Empty,2009,tt1512148,Troy Carlton,"('Marcus Mizelle', 'Michael Altillio', 'Samantha Amodio', 'Aerli Austen', 'Sanethia Dresch')",7.2
Tomorrow,2005,tt0861366,Alastair Clayton,"('Linda Barclay', 'Teon Blake', 'Mike Busson', 'Alastair Clayton')",7.8
Little Men,2005,tt0395197,Trey Lineberger,"('Vincent Vittorio', 'Devon Gearhart', 'Tyler Ross', 'Daniel Samonas', 'Brooke Horn')",7.9
Wild About Harry,2009,tt0435711,Gwen Wynne,"('Tate Donovan', 'Adam Pascal', 'Danielle Savre', 'Skye McCole Bartusiak')",5.8
Operation: Sunrise,2008,tt1346295,Donovan Cerminara,"('Donovan Cerminara', 'Karin Hanczewski', 'Jamie Switch', 'Thomas Potter')",5.8
Night Train,2009,tt1020055,Brian King,"('Danny Glover', 'Leelee Sobieski', 'Steve Zahn', 'Matthias Schweighöfer')",5.7
15Malaysia,2009,tt1512689,Khairil M. Bahar,"('Johan John', 'Kamal Sabran', 'Mussadique Suleiman', 'Yasmin Ahmad', 'Linus Chung', 'Yuhang Ho', 'James Lee', 'Seng Tat Liew', 'Benji Lim', 'Amir Muhammad', 'Namron', 'Desmond Ng', 'Jordan Suleiman', 'Chui Mui Tan', 'Ming Jin Woo', 'Bahir Yeusuff', 'Yasmin Ahmad', 'Sharifah Amani', 'Varma a/l Arasu', 'Tian Chua')",7
Hold It Like a Baby,2009,tt1316054,Michael Love,"('Tina Love', 'Bink Goncharoff', 'Dana Halverson', 'Sandy Hackett', 'Jackie Kamm')",7
Cheeni Kum,2007,tt0976026,R. Balki,"('Amitabh Bachchan', 'Tabu', 'Paresh Rawal', 'Zohra Sehgal')",6.8
Good Luck Chuck,2007,tt0452625,Mark Helfrich,"('Dane Cook', 'Jessica Alba', 'Dan Fogler', 'Connor Price')",5.6
Final Flesh,2009,tt1692193,Ike Sanders,"('Melvin', 'Yvonne', 'Kesha')",5.6
Keep Your Distance,2005,tt0337656,Stu Pollard,"('Gil Bellows', 'Jennifer Westfeldt', 'Christian Kane', 'Kim Raver')",5.1
Sankham,2009,tt1649404,Siva,"('Gopichand', 'Trisha Krishnan', 'Chandramohan', 'Kota Srinivasa Rao')",5
A Lower Power,2009,tt1400400,Robert O'Geen,"('Mathew Lotto', 'William McMichael', 'Terri J. Freedman', 'Rafe Morgan Kossak')",5.3
Curious George 2: Follow That Monkey!,2009,tt1350484,Norton Virgien,"('Frank Welker', 'Amy Hill', ""Ed O'Ross"", 'Jeff Bennett')",5.6
Sum of Existence,2005,tt0399706,Jon Cohen,"('Brooke Anderson', 'Simone Kessell', 'Josh Picker', 'Angela Carmichael')",6
Shanghai Red,2006,tt0465600,Oscar L. Costo,"('Vivian Wu', 'Richard Burgi', 'Honglei Sun', 'You Ge')",5.4
Acts of Mercy,2009,tt1110233,Laura C. Lopez,"('Kevin Akers', 'Amy Benedict', 'Clement Blake', 'Ed Donovan')",8.1
The Erotic Samurai,2006,tt0853195,G.R. Claveria,"('G.R. Claveria', 'Seymore Butts', 'Melissa Santos', 'Mari Possa')",7.3
Searchers 2.0,2007,tt0943982,Alex Cox,"('Del Zamora', 'Andres Carranza', 'Juan Leyva', 'Jason Norquist')",5.8
A Guide to Recognizing Your Saints,2006,tt0473488,Dito Montiel,"('Robert Downey Jr.', 'Rosario Dawson', 'Shia LaBeouf', 'Dianne Wiest')",6.9
The Finest Hour,2009,tt1369653,Les Shepherd,"('Jeff Eveleth', 'Geoff Byrd', 'Becky Garcia', 'James Green')",6.2
Oliver Twist,2005,tt0380599,Roman Polanski,"('Barney Clark', 'Ben Kingsley', 'Jeremy Swift', 'Ian McNeice')",6.8
Calon Gaeth,2006,tt0928377,Ashley Way,"('Nia Ann', 'Richard Elfyn', 'Tom Ellis', 'Rhian Grundy')",7.8
