Title,Year,Movie ID,Director,Stars,Votes
Romeo/Juliet,2017,tt7153070,A.M. Sannazzaro,"('Karyn Ben Singer', 'Elizabeth Rhodes', 'Jeffrey Gardner', 'Nicelle Davis')",9
Hotel Inferno 2: The Cathedral of Pain,2017,tt4978404,Giulio De Santi,"('Tiziana Machella', 'Rayner Bourton', 'Roland Stone', 'Jade Matthew', 'Michael Howe')",5.6
Bernadette,2018,tt4921954,John Psathas,"('Sam Straley', 'Johnny Lim', 'James Guyton', 'Marilyn Bass')",7.7
Finding Steve McQueen,2019,tt6032328,Mark Steven Johnson,"('Travis Fimmel', 'Rachael Taylor', 'Forest Whitaker', 'William Fichtner')",6.2
Gnome Alone,2017,tt5851786,Peter Lepeniotis,"('Becky G', 'Josh Peck', 'Tara Strong', 'Olivia Holt')",5.6
Two Bellmen Three,2017,tt5676366,Daniel Malakai Cabrera,"('Mark D. Spencer', 'Ki Hong Lee', 'Sala Baker', 'Phillip Rhee', 'Peter Shinkoda')",6.7
Aberdeen,2019,tt8648232,Colton Van Til,"('Isabel Bennett', 'Amara Davis', 'Matt George Moore', 'Cooper Tomlinson')",7.7
27 Guns,2018,tt8509342,Natasha Museveni Karugire,"('Arnold Mubangizi', 'Diana Museveni Kamuntu', 'Sezi Jedidiah Nuwewenka', 'Godwin Ahimbisibwe')",7.6
A-X-L,2018,tt5709188,Oliver Daly,"('Alex Neustaedter', 'Becky G', 'Alex MacNicoll', 'Dominic Rains')",5.3
King Rat,2017,tt4664460,Henry Johnston,"('Burt Young', 'Austin Pendleton', 'Lauren Ashley Carter', 'Alan Wilder')",6.7
The Forbidden Note,2016,tt3722726,Callum Andrew Johnston,"('Reese Scholtz', 'Reena Anjali', 'Umit Ulgen', 'Jonathan Hansler')",7
Kusumitar Gappo,2019,tt10141690,Hrishikesh Mondal,"('Ushasie Chakraborty', 'Soumitra Chatterjee', 'Debesh Roy Chowdhury', 'Dalia Ghosh')",-
Neurogenesis,2017,tt5812442,Michael Samer,"('Victoria Ferrara', 'Gary Boulter', 'Darcey Wilson', 'Nic Westaway')",8.2
Angel of Mine,2019,tt7058080,Kim Farrant,"('Noomi Rapace', 'Rebecca Bower', 'Luke Evans', 'Finn Little')",6.4
By the Grace of Bob,2016,tt3608806,David E. Powers,"('Sterling Hurst', 'Paul Wilson', 'Christie Osterhus', 'Micah Brown')",8.2
Double Eagle Ranch,2018,tt6163094,Austyn Jeffs,"('Kyle Cooper', 'Lyndsey Doolen', 'Joe Hartzler', 'Melissa Hunter')",5.2
Tracktown,2016,tt5750534,Alexi Pappas,"('Jeremy Teicher', 'Alexi Pappas', 'Chase Offerle', 'Rachel Dratch', 'Andy Buckley')",5.7
When Nuvolari Runs: The Flying Mantuan,2018,tt5723576,Tonino Zangardi,"('Brutius Selby', 'Linda Messerklinger', 'Alessandro Haber', 'Edoardo Purgatori')",5.7
Rip Tide,2017,tt6262764,Rhiannon Bannenberg,"('Debby Ryan', 'Genevieve Hegney', 'Andrew Creer', 'Naomi Sequeira')",5.4
Kissing Candice,2017,tt5225428,Aoife McArdle,"('Ann Skelly', 'Ryan Lincoln', 'Lalor Roddy', 'Conall Keating')",5.2
Mothers,2017,tt5858628,Liana Marabini,"('Remo Girone', 'Christopher Lambert', 'Victoria Zinny', 'Mara Gualandris')",5.8
Exhume,2017,tt3441228,Scott Poiley,"('Alice Rietveld', 'William Haze', 'Sarah Sculco', 'Tony Senzamici')",6.9
I Believe,2017,tt4294970,Juergen Peretzki,"('Stacey Peretzki', 'Rowan Smyth', 'Matt Lindquist', 'Wilford Brimley', 'Jeremy London')",5.4
Donovan,2017,tt3278500,Jason Bee,"('Michael Crabtree', 'Jason Bee', 'Kelsey Deanne', 'Raymund C. King', 'Damon Carney')",9
A Rainy Day in New York,2019,tt7139936,Woody Allen,"('Timothée Chalamet', 'Elle Fanning', 'Liev Schreiber', 'Suzanne Smith')",6.5
Freedom,2017,tt4701906,Jan Speckenbach,"('Johanna Wokalek', 'Hans-Jochen Wagner', 'Martin Leutgeb', 'Matthias Hecht')",5.9
Megan Leavey,2017,tt4899370,Gabriela Cowperthwaite,"('Kate Mara', 'Ramón Rodríguez', 'Tom Felton', 'Bradley Whitford')",7.1
Star Trek Beyond,2016,tt2660888,Justin Lin,"('Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Zoe Saldana')",7
A Christmas Prince: The Royal Wedding,2018,tt8709036,John Schultz,"('Rose McIver', 'Ben Lamb', 'Alice Krige', 'Honor Kneafsey')",5.3
Dance: The Audition,2019,tt10181968,Jordan River,"('Tabata Caldironi', 'Jennifer Chapko', 'Katherine Duke', 'Janet Eilber')",9.2
The Preacher's Son,2017,tt3729914,Trey Haley,"('Christian Keyes', 'Clifton Powell', 'Valarie Pettiford', 'Drew Sidora')",5.8
Drama Drama,2019,tt3901006,Martin Guigui,"('Cheri Oteri', 'Cinta Laura Kiehl', 'Hunter Sansone', 'Carlye Tamaren')",7.4
Iberion,2019,tt10661376,Nico Wilcox Cano,"('Joan Castillo Faraco', 'Kevin Hidalgo López', 'Guillermo Llorca Andreu', 'Nuria Rodrigo Ortiz')",5.1
KL24: Zombies,2017,tt6508770,James Lee,"('Shamaine Othman', 'Gavin Yap', 'Sharifah Amani', 'Azman Hassan', 'Pete Teo', 'Joseph Germani')",5.3
Mercury in Retrograde,2017,tt5869632,Michael Glover Smith,"('Alana Arenas', 'Roxane Mesquida', 'Jack C. Newell', 'Shane Simmons')",6.7
The Current War,2017,tt2140507,Thomas A. Edison,"('George Westinghouse', 'Alfonso Gomez-Rejon', 'Benedict Cumberbatch', 'Oliver Powell', 'Sophia Ally', 'Tuppence Middleton')",6.5
StarDog and TurboCat,2019,tt7531096,Ben Smith,"('Luke Evans', 'Nick Frost', 'Gemma Arterton', 'Bill Nighy')",5.1
Rage,2016,tt4384088,Sang-il Lee,"('Ken Watanabe', 'Mirai Moriyama', 'Aoi Miyazaki', 'Satoshi Tsumabuki')",7
Fiendish Fables,2016,tt3916506,Brad Twigg,"('James Balsamo', 'Nadia White', 'Jesse L. Green', 'George Stover')",5.5
My China Doll,2017,tt7383740,Rachid Ferchiou,"('Ai Wan', 'Maram Ben Aziza')",8.5
La Hija,2016,tt5089922,Luis Sampieri,"('Gloria Berbuc', 'Julia Carcheti', 'María Laura Carhuavilca', 'Daniel Elias')",6.3
Napping Princess,2017,tt5731132,Kenji Kamiyama,"('Mitsuki Takahata', 'Shinnosuke Mitsushima', 'Jamison Boaz', 'Ray Chase')",6.3
