Title,Year,Movie ID,Director,Stars,Votes
Abandoned: Angelique's Isle,2018,tt5926778,Marie-Hélène Cousineau,"('Michelle Derosier', 'Julia Jones', 'Charlie Carrick', 'Tantoo Cardinal', 'Aden Young')",6.4
La danseuse,2016,tt4632440,Stéphanie Di Giusto,"('Soko', 'Gaspard Ulliel', 'Mélanie Thierry', 'Lily-Rose Depp')",6.5
Chuck Steel: Night of the Trampires,2018,tt4278346,Mike Mort,"('Mike Mort', 'Jennifer Saunders', 'Paul Whitehouse', 'Dan Russell')",6.8
"Aliens, Flamingos & Ecstasy",2019,tt13211260,Michelle Kranot,"('Uri Kranot',)",5.8
Bastard,2016,tt6112922,Samppa Batal,"('Eppu Pastinen', 'Krista Hannula', 'Satu Silvo', 'Anssi Niemi')",6
My Dad's on Death Row,2016,tt14993866,Thomas Leader,(),6.2
Deadweight,2016,tt5424014,Axel Koenzen,"('Tommi Korpela', 'Ema Vetean', 'Archie Alemania', 'Manuelito Acido')",5.3
Thomas & Friends: Journey Beyond Sodor,2017,tt6145612,David Stoten,"('Mark Moraghan', 'John Hasler', 'Joseph May', 'Darren Boyd')",6.1
We Still Steal the Old Way,2016,tt4418398,Sacha Bennett,"('Ian Ogilvy', 'Tony Denham', 'Christopher Ellison', 'Billy Murray')",5.1
Belushi's Toilet,2018,tt8159764,Andrew Wright,"('Mark Nocent', 'James Soares-Correia', 'Hayden Finkelshtain', 'Alex Frankson')",6.5
Cleeve Concerts - Kim Cypher,2019,tt12459016,Kim Cypher,"('Chris Cobbson', 'Kim Cypher', 'Mike Cypher', 'Pee Wee Ellis')",9.6
Assassin,2019,tt11469000,Ethan Stephens,"('Landon Brooks', 'Miciah Auden', 'Cameron Payne', 'Nathan Orlando')",5.9
The Short History of the Long Road,2019,tt8184766,Ani Simon-Kennedy,"('Danny Trejo', 'Maggie Siff', 'Sabrina Carpenter', 'Steven Ogg')",6.5
Drama Class,2016,tt5665116,Caleb Francis Jenkins,"('Emerson Niemchick', 'Emerson Niemchick', 'Bill K. Kenney', 'Morgan Lind', 'Brittany Devon')",6.7
The Sad Girls of the Mountains,2019,tt11808294,Candy Flip,"('Theo Meow', 'Hendrik Adams', 'Candy Flip', 'Jenz', 'Jochen Werner')",5.5
Paris Window,2018,tt6425474,Amanda Kramer,"('Noel David Taylor', 'Sophie Kargman', 'Anna Cordell', 'Gina Piersanti')",5.6
Split,2016,tt4972582,M. Night Shyamalan,"('James McAvoy', 'Anya Taylor-Joy', 'Haley Lu Richardson', 'Jessica Sula')",7.3
Princess of the Row,2019,tt6533972,Van Maximilian Carlson,"('Edi Gathegi', 'Tayler Buck', 'Ana Ortiz', 'Jacob Vargas')",6.3
A Land Imagined,2018,tt8726116,Siew Hua Yeo,"('Peter Yu', 'Xiaoyi Liu', 'Yue Guo', 'Jack Tan')",6.2
Mother of a Day,2019,tt6871338,Butch Maier,"('Lamont Ferguson', 'Shanadiah Nicole', 'Malachi DeWitt', 'Karen M. Bryson')",7
Troll: The Tale of a Tail,2018,tt6469892,Kevin Munroe,"('Kristian Kamp', 'Sonja Ball', 'Wyatt Bowen', 'Mark Camacho', 'Richard M Dumont')",5
Midnight Delight,2016,tt3136146,Rohit Gupta,"('Maggie Alexander', 'John Crann', 'Adit Dileep', 'Joshua Echevarria')",6.8
Breaking In,2018,tt7137846,James McTeigue,"('Gabrielle Union', 'Billy Burke', 'Richard Cabral', 'Ajiona Alexus')",5.5
Cheerleader,2016,tt4188654,Irving Franco,"('Catherine Blades', 'Chris Bert', 'Rachel Beyda', 'Patrick Ball')",7.8
Translucido,2016,tt4542538,Leonard Zelig,"('María Elisa Camargo', 'Erin Fogel', 'Andrés Crespo', 'Roberto Manrique')",7.2
Vile Prey,2016,tt5352998,Tim Novotny,"('Ian Cameron', 'Amy Kay Clark', 'Bryan Kiko', 'Octavious Maximus')",5.7
Dark Circus,2016,tt4412042,Julia Ostertag,"('Annika Strauss', 'Akal Demir', 'Namjira As-Sefid', 'Vanessa Baden')",6.7
Blodsbrødre,2018,tt6715424,Marius Pinnås,"('William Jøhnk Nielsen', 'Per Christian Ellefsen', 'Marius Pinnås', 'Susanne Karin Moe')",5.6
Special Mission,2018,tt7799334,Chenyang Yin,"('Siu-Wong Fan', 'Augusta Xu-Holland', 'Zhen Guo', 'Kong')",6
Visage,2017,tt6133700,Tata Michaelangelo,"('Mike Wickman', 'Caleb Mann', 'Logan La Cross', 'Peter Dach', 'Julia Lanski')",7.1
RiffTrax Presents: Junior Prom,2018,tt21343930,Bridget Jones,"('Mary Jo Pehl',)",6
You're Killing Me Susana,2016,tt2538222,Roberto Sneider,"('Gael García Bernal', 'Verónica Echegui', 'Ashley Hinshaw', 'Jadyn Wong')",6.4
Fullmetal Alchemist,2017,tt5607028,Fumihiko Sori,"('Ryôsuke Yamada', 'Tsubasa Honda', 'Dean Fujioka', 'Misako Renbutsu')",5.3
Love You Krishna,2019,tt2496488,Stanley Joseph,"(""Miranda O'Hare"", 'Kamantha Naidoo', 'Zenia Starr', 'Nalini Krishan')",7.8
Driven to Dance,2018,tt6974888,Tati Elsher,"('Kaitlyn Black', 'Juliet Doherty', 'Asher Angel', 'Michelle Y. Allen')",5.6
The Transcendents,2018,tt5980638,Derek Ahonen,"('Rob Franco', 'Savannah Welch', 'Kathy Valentine', 'William Leroy')",5.7
Baked in Brooklyn,2016,tt3138344,Rory Rooney,"('Josh Brener', 'Alexandra Daddario', 'Paul Iacono', 'Kitty')",5.4
The Fourth Wall,2019,tt10229588,Hudson Senna,"('Stella Abreu', 'Lucila Miranda Araujo', 'Jair Assumpção', 'Nathalia Bacci')",7.6
Spirit Quest,2016,tt8214816,Colin Read,"('Ryan Barlow', 'Quim Cardona', 'Alex Fogt', 'Leo Gutman')",-
Running to the Sky,2019,tt10907844,Mirlan Abdykalykov,"('Temirlan Asankadyrov', 'Ruslan Orozakunov', 'Meerim Atantaeva', 'Ilim Kalmuratov')",6.2
Shadow Boxing,2016,tt4511394,Ryan Taylor Lopez,"('Samm Wiechec', 'Steve Luna', 'Jill Remez', 'Paul Nygro')",7.9
Scarborough,2018,tt6945932,Barnaby Southcombe,"('Jessica Barden', 'Jordan Bolger', 'Edward Hogg', 'Jodhi May')",5.7
Waking David,2016,tt4886726,Kevin Nash,"('Kristy Bruce', 'Shane Bruce', 'Mark Katz', 'Harriet Madeley')",6.7
Guiting - Live!,2018,tt13913286,Kim Cypher,"('Roger Carey', 'Liane Carroll', 'Tom Clarke-Hill', 'Kim Cypher')",8.9
Perception,2018,tt6878382,Ilana Rein,"('Caitlin Mehner', 'Wes Ramsey', 'Max Jenkins', 'Meera Rohit Kumbhani')",5
"Anne at 13,000 Ft.",2019,tt10874006,Kazik Radwanski,"('Lisa Aitken', 'Pat Bianco', 'Tiffany Blom', 'Deragh Campbell')",6.5
Her Boyfriend's Secret,2018,tt8145968,Lisa France,"('Kelly Sullivan', 'Maiara Walsh', 'Mark Famiglietti', 'Anne Leighton')",5.2
Sock Job,2016,tt3123198,Mark Allen,"('Matthew Camp',)",6.1
According to Ben Adams,2016,tt4067106,Bramwell Noah,"('Dan Noah', 'Daniel Schepisi', 'Chloe Ng', 'Allan V. Watt', 'Michelle Falkam')",5.3
To All the Boys I've Loved Before,2018,tt3846674,Susan Johnson,"('Lana Condor', 'Noah Centineo', 'Janel Parrish', 'Anna Cathcart')",7
Monster Trucks,2016,tt3095734,Chris Wedge,"('Lucas Till', 'Jane Levy', 'Thomas Lennon', 'Barry Pepper')",5.6
ML,2018,tt8661084,Benedict Mique,"('Eddie Garcia', 'Tony Labrusca', 'Lianne Valentin', 'Henz Villaraiz')",6.8
Two Is a Family,2016,tt5078204,Hugo Gélin,"('Omar Sy', 'Clémence Poésy', 'Antoine Bertrand', 'Ashley Walters')",7.3
Providence,2016,tt4385026,Sharon Wilharm,"('Juli Tapken', 'Rich Swingle', 'Jenn Gotzon', 'Stacey Bradshaw')",7.6
Viceroy's House,2017,tt4977530,Gurinder Chadha,"('Hugh Bonneville', 'Gillian Anderson', 'Manish Dayal', 'Huma Qureshi')",6.7
Drack,2019,tt12235136,Sam Sexton,"('Geoffrey Vagg', 'Racheal Leigh', 'Steven Morgan', 'Guy Bussenschutt')",8.6
The Knight and the Princess,2019,tt10963790,Bashir El Deek,"('Aiemzy', 'Mohamed El Dafrawy', 'Lekaa El Khamisy', 'Maged El-Kidwani')",5.7
Boseefus: The Movie,2016,tt6202264,Charlie Welling,"('Daniel Choi', 'Charlie Dalgleish', 'Philip Depaola', 'Ryan Dodd')",7.4
The Matadors,2017,tt4837090,George Pan Andreas,"('George Pan Andreas', 'Eric Roberts', 'Dominique Swain', 'El Pana')",6.6
Grihalakshmi - The Awakening,2019,tt10916104,Arvind Pandey,(),8.8
Legal Action,2018,tt7656570,Brent Christy,"('Eric Close', 'Nick Searcy', 'Tommy Flanagan', 'Tanya Clarke')",5.9
American Made,2017,tt3532216,Doug Liman,"('Tom Cruise', 'Domhnall Gleeson', 'Sarah Wright', 'Jesse Plemons')",7.1
Green is Gold,2016,tt5143704,Ryon Baxter,"('Derek W. Adam', 'Jimmy Baxter', 'Ryon Baxter', 'Billy Bodie')",6
Sense of Urgency,2017,tt5983362,David D. Ford,"('Ransom Ashley', 'Lee Kelley', 'Stuart Miller', 'David D. Ford')",6.1
Accidentally Engaged,2016,tt4742556,Letia Clouston,"('Lexi Giovagnoli', 'Brant Daugherty', 'Lexi Atkins', 'Randy Wayne')",5.7
Remember the Goal,2016,tt5066818,Dave Christiano,"('Allee Sutton Hethcoat', 'Quinn Alexis', 'Sydney Marks', 'Jayla Palmer')",6.4
KevCoin: The Movie,2018,tt8096918,Jason Attar,"('Danny Wimborne', 'Jason Attar', 'Stella Attar', 'Dominic Geraghty', 'Martin Gooch')",6
The Bachelors,2017,tt5253282,Kurt Voelker,"('J.K. Simmons', 'Josh Wiggins', 'Odeya Rush', 'Kevin Dunn')",6.8
Turned Out,2019,tt9887568,Tyrone Jackson,"(""Courtney 'Cheech' Cook"", 'Nyzing Ah Amin', 'Joe Blunt Sr.', 'Halston Canty')",6.3
Get My Gun,2017,tt5833412,Brian Darwas,"('Kate Hoffman', 'Rosanne Rubino', 'Christy Casey', 'William Jousset')",5.2
Ultra Low,2018,tt6557704,Nicholas Gyeney,"('Lauren Holly', 'Yuji Okumoto', 'Nicholas Gyeney', 'Tami Stronach')",5.1
Shakespeare's Globe Theatre: The Winter's Tale,2018,tt8672504,Blanche McIntyre,"('Annette Badland', 'Zora Bishop', 'Adrian Bower', 'Priyanga Burford')",7.4
Miss Stevens,2016,tt2693580,Julia Hart,"('Lily Rabe', 'Timothée Chalamet', 'Lili Reinhart', 'Anthony Quintal')",6.6
This Side of Heaven,2016,tt5270030,Todd Verow,"('Philly Abe', 'Penny Arcade', 'Theodore Bouloukos', 'Mike Dreyden')",5.4
"Die, My Dear",2017,tt4874812,Matthew Kalamane,"('Thomas Burks', 'Deirdre McCauley', 'Jeannie Ferrara', 'Bobe Kirsche')",5.6
Arise from Darkness,2016,tt3564122,La Raza,"('Zachary Laoutides', 'Mónica Esmeralda León', 'Samuel Younan', 'Emmanuel Isaac')",7.9
Window to the Sea,2019,tt9288850,Miguel Ángel Jiménez,"('Emma Suárez', 'Akilas Karazisis', 'Gaizka Ugarte', 'Katerina Zafeiropoulou')",6.6
Bruce,2019,tt5348960,Phebe Szatmari,"('Christopher Bayon', 'Anthony Guerino', 'Evan Altshuler', 'Kimberly Apadula')",5.3
Musical Drama Chinese Gospel Choir 19th Performance,2017,tt7378052,Bao Da,(),8.7
Timelife,2019,tt10224912,Hamid Benamra,"('Stephanie Benamra', 'Mohamed Malas', 'Marie-Christine Darah', 'Sébastien Benoist')",7.6
Gozo,2016,tt1913036,Miranda Bowen,"('Joseph Kennedy', 'Ophelia Lovibond', 'Daniel Lapaine', 'John Bowe')",5.6
Riding 79,2016,tt2393941,Karola Hawk,"('Lorenzo James Henrie', 'Madalyn Horcher', 'Tristan Jarred', 'Nikki Hahn')",6.8
18 to Party,2019,tt7525496,Jeff Roda,"('Casey Marie Ecker', 'Kevin Daniel Carey', 'Enzo Cellucci', 'Alivia Clark')",5.2
One of the Good Ones,2019,tt7150126,Jesy McKinney,"('Chase Tarca', 'Jesy McKinney', 'Callie Gilbert', 'Sulem Calderon', 'Adam Gregory')",5
A Midsummer Night's Dream,2017,tt5659816,Casey Wilder Mott,"('Rachael Leigh Cook', 'Paz de la Huerta', 'Avan Jogia', 'Fran Kranz')",5.5
Perfect 10,2019,tt9070230,Eva Riley,"('Frankie Box', 'Alfie Deegan', 'Sharlene Whyte', 'William Ash')",6.2
Sorry to Bother You,2018,tt5688932,Boots Riley,"('LaKeith Stanfield', 'Tessa Thompson', 'Jermaine Fowler', 'Omari Hardwick')",6.9
Christian Movie: Yearning,2018,tt8105580,Chenze,"('Fan Li', 'Xiang Li', 'Duanzheng', 'Yanqing Gu', 'Simiao Xu', 'Chenze')",8.6
Electric Love,2018,tt6850766,Aaron Fradkin,"('Mia Serafino', 'Zachary Mooren', 'Erik Griffin', 'Kyle Howard')",5.1
To Whom It May Concern,2016,tt3227442,Manu Boyer,"('Dawn Olivieri', 'Wilmer Valderrama', 'Paloma Guzmán', 'Skipp Sudduth')",6.3
Mudbound,2017,tt2396589,Dee Rees,"('Jason Mitchell', 'Carey Mulligan', 'Jason Clarke', 'Mary J. Blige')",7.4
Flavors of Youth,2018,tt8176578,Haoling Li,"('Yoshitaka Takeuchi', 'Xiaoxing Yi', 'Taito Ban', 'Dorothy Elias-Fahn', 'Matt Fowler', 'Crispin Freeman')",6.6
Love & Friendship,2016,tt3068194,Whit Stillman,"('Kate Beckinsale', 'Chloë Sevigny', 'Xavier Samuel', 'Emma Greenwell')",6.4
The Favorite,2019,tt6619188,Curtis Graham,"('John Schneider', 'Luke Benjamin Bernard', 'Matthew Fahey', 'Mollee Gray')",5.5
Ascension,2018,tt5611432,Ross Wachsman,"('Ana Mulvoy Ten', 'Christie Burke', 'Farrah Mackenzie', 'Michael Traynor')",5.5
If These Porches Could Talk,2019,tt8898710,Travis Mills,"('Travis Mills', 'Holly Bonney', 'Johnny Lowe', 'Darby Matthews')",6.2
Johann Karlo's Gun Driver,2016,tt6074478,Johann Karlo,"('Curtis Wayne Johnson II', 'Megan Hanks', 'Andres Perez', 'Alex Anaya')",5.6
The Wandering Earth,2019,tt7605074,Frant Gwo,"('Jing Wu', 'Chuxiao Qu', 'Guangjie Li', 'Man-Tat Ng')",5.9
Under the Knife,2018,tt2703882,Josh Hoffman,"('Jin-geun Kim', 'Jyeong-ah Kim', 'Rydia Kim', 'Matt Pavlovich')",5.8
Secondhand Hearts,2017,tt6091368,Austin Everett,"('Ben Isaacs', 'Mallory Corinne', 'Allie-Rae Treharne', 'Jericho Lopez')",5.3
The Man with Four Legs,2017,tt3313760,Ed Christmas,"('Richard Southgate', 'Simon Dobson', 'Daniel Ormerod', 'Terry Sweeney')",7.1
Across the Rails,2018,tt6098154,Damian Fitzsimmons,"('James Robert Wood', 'Vance Vlasek', 'David Gallegos', 'Otmara Marrero')",6.5
The Whistlers,2019,tt7921248,Corneliu Porumboiu,"('Vlad Ivanov', 'Catrinel Marlon', 'Rodica Lazar', 'Sabin Tambrea')",6.4
The Pickup Artist,2019,tt7639446,Rohit Arora,"('Saasha Aery', 'Rohit Arora', 'Sidharth Bhardwaj', 'Anahita Bhooshan')",5.3
Gully Boy,2019,tt2395469,Zoya Akhtar,"('Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz')",7.9
Empty Metal,2018,tt7230016,Adam Khalil,"('Bayley Sweitzer', 'Austin Sley Julian', 'Irma-Estel Laguerre', 'Empty Metal', 'Rose Mori')",5.7
Júlia ist,2017,tt6597612,Elena Martín,"('Elena Martín', 'Oriol Puig Grau', 'Laura Weissmahr', ""Jakob D'Aprile"")",6.2
Grandma Werewolf,2017,tt6689414,Zachary Will,"('James Wosochlo', 'Trevor Brooks', 'America Ramos', 'Tricia Harmon')",5.9
Dirty Grandpa: I Got Nothin' to Hide - A Look at Daytona's Most Vibrant Drug Dealer,2016,tt5845772,Jason Mantzoukas,(),7
Les fleurs oubliées,2019,tt8399104,André Forcier,"('Roy Dupuis', 'Yves Jacques', 'Christine Beaulieu', 'Juliette Gosselin')",6
Borderland,2016,tt6082974,Andrew Jara,"('Elle Army', 'Juan Manuel Cazares', 'Charlavail Effron', 'Jacob Garcia')",5.8
Making It,2016,tt4943040,Eamonn Norris,"('Seamus Hughes', 'Moya Farrelly', 'Elaine Kennedy', 'John Fraher')",9.2
Animal World,2018,tt9257932,Can-zhao Lam,"('Haokun Gou', 'Gu Jianping', 'Lv Liang', 'Tian Ling')",7
Blood Mixed,2019,tt11962916,Mahaliel Bethea,"('Khalil Abdullah', 'Bondari Ana', 'Abdul Aziz', 'Michael Damian Bailey')",8.1
Pili,2017,tt5827020,Leanne Welham,"('Simon Rieber', 'Bello Rashid', ""Nkwabi Elias Ng'angasamala"", 'Sesilia Florian Kilimila', 'Sikijua Rashid')",6.5
Blue Frontier,2018,tt6004360,Jorge Carmona,"('Tito Köster', 'Nicolas Arnould', 'Theresa Babcock', 'Bayu Bayu', 'Jérémy Beuvin')",6.9
Angry Birds,2016,tt1985949,Clay Kaytis,"('Fergal Reilly', 'Jason Sudeikis', 'Josh Gad', 'Danny McBride', 'Maya Rudolph')",6.3
Lottery,2018,tt7897348,Mohammad Hossein Mahdavian,"('Saed Soheili', 'Ziba Karamali', 'Hamid Farrokhnezhad', 'Hadi Hejazifar')",5.6
Devil's Knock,2016,tt5776574,Domi Cutrona,"('Domi Cutrona', ""Ivana Dell'Albani"", 'Alec Di Gabriel')",5.9
Arte Factum,2017,tt7713246,Dan Beck,"('Duane Brown', 'Jonathan Cook', 'Jeremy Garcia', 'Stephen Gilliam', 'Alex Green', 'Amanda Lynn Joyce', 'Nick Laws', 'Patrick A. Prejusa', 'Joshua Seymour', 'Jaye Starkes', 'Jeffery Watson', 'Rachel Miller', 'Christopher Welch', 'Jeremy Garcia', 'Melissa Ayala')",7.2
"Empathy, Inc.",2018,tt6317236,Yedidya Gorsetman,"('Zack Robidas', 'Kathy Searle', 'Jay Klaitz', 'Eric Berryman')",5.6
B&B,2017,tt5258904,Joe Ahearne,"('Tom Bateman', 'Paul McGann', 'Sean Teale', 'Callum Woodhouse')",5.5
Leaves of the Tree,2016,tt3417316,Ante Novakovic,"('Eric Roberts', 'Sean Young', 'Armand Assante', 'Federico Castelluccio')",5.1
Out of the Wild,2019,tt5226618,Paul Krizan,"('John Diehl', 'Jean Louisa Kelly', 'Benjamin Ashbrook', 'Kevin McCorkle')",6.6
Iki Nefes Arasinda,2017,tt6206180,Birkan Tercanli,"('Yahya Dogu Demir', 'Oznur Cifci', 'Nazim Demir', 'Caner Ermis')",6.6
The American Gandhi,2016,tt2460594,Joseph Mungra,"('James Patrick Stuart', 'Jim Storm', 'Rajesh Vivek', 'Singh Surendra')",6.8
Across the Ocean,2019,tt6683502,Nicole Donadio,"('Uma Kumarapuram', 'Anna Jaller', 'Apoorva Bose', 'Austin Arnold', 'Muthumani')",7.7
Northern Lights,2016,tt5592228,Nicholas Connor,"('Gemma Paige North', 'Rhys Cadman', 'Katherine Quinn', 'Carole Griffiths')",7.5
Spider-Man: Identity,2019,tt10443172,Ronan Doss,"('Ronan Doss', 'Wayne Lundy', 'Daven Talbot', 'Billie Wolff')",6.9
Panfilov's 28,2016,tt5207204,Kim Druzhinin,"('Andrey Shalopa', 'Maksim Abrosimov', 'Sergey Agafonov', 'Pavel Aseev', 'Ivan Batarev')",6.7
The Maestro,2018,tt5985672,Adam Cushman,"('Xander Berkeley', 'Sarah Clarke', 'Mackenzie Astin', 'William Russ')",5.8
Falls Around Her,2018,tt8314254,Darlene Naponse,"('Tantoo Cardinal', 'Tina Keeper', 'Gail Maurice', 'Johnny Issaluk')",6.2
The Meaning of Life,2017,tt5644054,Cat Hostick,"('John Boylan', 'Joel Chico', 'Daniel DeSanto', 'Sergio Di Zio')",6.6
Beneath the Blue Suburban Skies,2019,tt10855380,Edward Burns,"('Jennifer Ehle', 'Edward Burns', 'Hannah Dunne', 'Brian Wiles')",6.8
Radius,2017,tt6097798,Caroline Labrèche,"('Steeve Léonard', 'Diego Klattenhoff', 'Charlotte Sullivan', 'Brett Donahue', 'Bradley Sawatzky')",6.2
Shoot the Moon Right Between the Eyes,2018,tt6211472,Graham L. Carter,"('Morgana Shaw', 'David Kendrick', 'Sonny Carl Davis', 'Frank Mosley')",6.6
Love Espionage: Spy Revenge,2018,tt7777960,Charlene Jeter,"('Charlene Jeter', 'Munish Manjunath', 'Matt Hudson', 'Jovany Torres')",6.9
The Head Hunter,2016,tt5421146,Tom Keeling,"('Tom Durant Pritchard', 'Debora Weston', 'Jack Hawkins', 'Freddie Thorp')",5.4
"Os Under Undergrounds, o Começo",2018,tt9070758,Nelson Botter Jr.,"('Arthur Berges', 'Yuri Chesman', 'Nestor Chiesse', 'Magda Crudelli')",8.2
Zygosity,2017,tt6547058,Graham M. Sheppard,"('Signe Barlow', 'Max Brook', 'Alexander Caudarella', 'Amy Force')",7.4
